tricode_home,tricode_away,geometry_home,geometry_away,geo_distance_haversine,geo_distance_ellipsoidal
ANA,BOS,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-71.062630,42.366291]}",4151567.102669938,4160593.8632356026
ANA,BUF,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-78.8767782,42.8752636]}",3512816.5844291104,3520080.7583107464
ANA,CAR,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-78.721825,35.8033116]}",3558013.232807441,3565823.5465786573
ANA,CBJ,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-83.0061557,39.9692284]}",3154777.040806152,3161482.370544655
ANA,CGY,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-114.05141,51.03805]}",1940795.3334701858,1939010.2909389443
ANA,CHI,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-87.674370,41.880692]}",2782808.503232089,2788223.266451946
ANA,COL,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-105.0077857,39.74864]}",1320927.9202318918,1322573.57875539
ANA,DAL,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-96.8102,32.7903]}",1957735.8793142338,1961878.5094282697
ANA,DET,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-83.055534,42.341045]}",3167183.182628894,3173582.1144411853
ANA,EDM,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-113.498871,53.546932]}",2221903.2115187673,2220324.659018718
ANA,FLA,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-80.325448,26.158384]}",3693844.344903327,3700091.046944284
ANA,LAK,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-118.2671898,34.0430921]}",44537.43984969334,44562.8512594996
ANA,MIN,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-93.1010033,44.9448248]}",2448793.124615537,2452323.198436285
ANA,MTL,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-73.569916,45.496082]}",3952772.731883051,3960873.9744708263
ANA,NJD,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-74.171085,40.733559]}",3901992.885344739,3910509.2310756366
ANA,NSH,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-86.779060,36.159229]}",2833054.4616356427,2839243.824430249
ANA,NYI,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-73.7258661,40.7117152]}",3939588.8336493946,3948200.8268770664
ANA,NYR,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-73.9935459,40.7505474]}",3916830.8157037064,3925383.1731757238
ANA,OTT,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-75.9269821,45.2968824]}",3767619.0492905513,3775213.850697164
ANA,PHI,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-75.172001,39.901177]}",3822533.3857702683,3830905.58791413
ANA,PIT,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-79.988795,40.439642]}",3411724.9761180575,3419030.6824779827
ANA,SEA,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-122.3537822,47.6221615]}",1581043.0833901374,1579313.4355309354
ANA,SJS,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-121.9012924,37.3327377]}",534806.057315379,534736.0270546929
ANA,STL,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-90.2026731,38.6268312]}",2529567.439466733,2534867.32858158
ANA,TOR,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-79.37896,43.64344]}",3478635.7540178834,3485682.087185122
ANA,TBL,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-82.4518213,27.9427281]}",3425818.312396818,3432067.881613183
ANA,UTA,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-111.9008887,40.7682775]}",936730.6687557014,936214.7854395738
ANA,VAN,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-123.1089713,49.2779028]}",1773350.5961322847,1771676.1831840165
ANA,VGK,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-115.178726,36.102982]}",354346.48106874427,354304.55551546515
ANA,WPG,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-97.1438596,49.8925472]}",2463159.4730152674,2464744.0878604073
ANA,WSH,"{""type"":""Point"",""coordinates"":[-117.8765602,33.8077881]}","{""type"":""Point"",""coordinates"":[-77.0209613,38.8980959]}",3671395.996900913,3679452.009824798
