id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.number,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,awayTeam.commonName.fr,homeTeam.commonName.fr,specialEvent.parentId,specialEvent.name.default,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,periodDescriptor.otPeriods,winningGoalie.lastName.sv,winningGoalie.lastName.de,specialEvent.name.fr,specialEvent.name.sk,specialEvent.name.sv,tricode_winteam
2013020001,20132014,2,2013-10-01,False,2013-10-01T23:00:00Z,-04:00,-04:00,America/Montreal,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,4,8,Canadiens,Montréal,de Montréal,MTL,3,3,REG,3,REG,8473503.0,8471664.0,,,15.0,Molson Canadian NHL Face Off,,,,,,,,,,,,,Confrontation,Vhadzovanie,Nedsläpp,TOR
2013020002,20132014,2,2013-10-01,False,2013-10-02T00:00:00Z,-04:00,-05:00,America/Chicago,OFF,OK,15,Capitals,Washington,de Washington,WSH,4,16,Blackhawks,Chicago,de Chicago,CHI,6,3,REG,3,REG,8470645.0,8469665.0,,,,,,,,,,,,,,,,,,,,CHI
2013020003,20132014,2,2013-10-01,False,2013-10-02T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,5,22,Oilers,Edmonton,d'Edmonton,EDM,4,3,REG,3,REG,8471715.0,8473564.0,,,,,,,,,,,,,,,,,,,,WPG
2013020004,20132014,2,2013-10-02,False,2013-10-02T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,3,4,Flyers,Philadelphia,de Philadelphie,PHI,1,3,REG,3,REG,8473541.0,8471245.0,,,,,,,,,,,,,,,,,,,,TOR
2013020005,20132014,2,2013-10-02,False,2013-10-03T00:00:00Z,-04:00,-04:00,America/Detroit,OFF,OK,7,Sabres,Buffalo,de Buffalo,BUF,1,17,Red Wings,Detroit,de Detroit,DET,2,3,REG,3,REG,8470657.0,8467514.0,,,,,,,,,,,,,,,,,,,,DET
2013020006,20132014,2,2013-10-02,False,2013-10-03T01:30:00Z,-04:00,-06:00,America/Denver,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,1,21,Avalanche,Colorado,du Colorado,COL,6,3,REG,3,REG,8473575.0,8471703.0,,,,,,,,,,,,,,,,,,,,COL
2013020007,20132014,2,2013-10-03,False,2013-10-03T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,1,6,Bruins,Boston,de Boston,BOS,3,3,REG,3,REG,8471695.0,8473473.0,,,,,,,,,,,,,,,,,,,,BOS
2013020009,20132014,2,2013-10-03,False,2013-10-03T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,20,Flames,Calgary,de Calgary,CGY,4,15,Capitals,Washington,de Washington,WSH,5,5,SO,3,SO,8473607.0,,,,,,,,,,,,,,,,,,,,,WSH
2013020008,20132014,2,2013-10-03,False,2013-10-03T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,0,5,Penguins,Pittsburgh,de Pittsburgh,PIT,3,3,REG,3,REG,8470594.0,8469467.0,,,,,,,,,,,,,,,,,,,,PIT
2013020011,20132014,2,2013-10-03,False,2013-10-04T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,26,Kings,Los Angeles,de Los Angeles,LAK,3,30,Wild,Minnesota,du Minnesota,MIN,2,5,SO,3,SO,8471734.0,,,,,,,,,,,,,,,,,,,,,LAK
