id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.number,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,homeTeam.commonName.fr,awayTeam.commonName.fr,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,periodDescriptor.otPeriods,winningGoalie.lastName.sv,specialEvent.parentId,specialEvent.name.default,specialEvent.name.fr,tricode_winteam
2014020001,20142015,2,2014-10-08,False,2014-10-08T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,4,10,Maple Leafs,Toronto,de Toronto,TOR,3,3,REG,3,REG,8471679.0,8469521.0,,,,,,,,,,,,,,,,,MTL
2014020002,20142015,2,2014-10-08,False,2014-10-08T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,1,6,Bruins,Boston,de Boston,BOS,2,3,REG,3,REG,8471695.0,8467967.0,,,,,,,,,,,,,,,,,BOS
2014020004,20142015,2,2014-10-08,False,2014-10-09T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,28,Sharks,San Jose,de San Jose,SJS,4,26,Kings,Los Angeles,de Los Angeles,LAK,0,3,REG,3,REG,8474550.0,8474739.0,,,,,,,,,,,,,,,,,SJS
2014020003,20142015,2,2014-10-08,False,2014-10-09T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,4,20,Flames,Calgary,de Calgary,CGY,2,3,REG,3,REG,8468011.0,8468085.0,,,,,,,,,,,,,,,,,VAN
2014020007,20142015,2,2014-10-09,False,2014-10-09T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,4,5,Penguins,Pittsburgh,de Pittsburgh,PIT,6,3,REG,3,REG,8470594.0,8471260.0,,,,,,,,,,,,,,,,,PIT
2014020006,20142015,2,2014-10-09,False,2014-10-09T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,6,4,Flyers,Philadelphia,de Philadelphie,PHI,4,3,REG,3,REG,8471239.0,8464977.0,,,,,,,,,,,,,,,,,NJD
2014020005,20142015,2,2014-10-09,False,2014-10-09T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,3,7,Sabres,Buffalo,de Buffalo,BUF,1,3,REG,3,REG,8475683.0,8474715.0,,,,,,,,,,,,,,,,,CBJ
2014020008,20142015,2,2014-10-09,False,2014-10-09T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,2,15,Capitals,Washington,de Washington,WSH,1,5,SO,3,SO,8474682.0,,,,,,,,,,,,,,,,,,MTL
2014020010,20142015,2,2014-10-09,False,2014-10-09T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,13,Panthers,Florida,de la Floride,FLA,2,14,Lightning,Tampa Bay,de Tampa Bay,TBL,3,4,OT,3,OT,8471750.0,8475167.0,,,,,,,,,,,,,,,,,TBL
2014020009,20142015,2,2014-10-09,False,2014-10-09T23:30:00Z,-04:00,-04:00,America/Detroit,OFF,OK,6,Bruins,Boston,de Boston,BOS,1,17,Red Wings,Detroit,de Detroit,DET,2,3,REG,3,REG,8470657.0,8474679.0,,,,,,,,,,,,,,,,,DET
