id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.number,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,winningGoalie.lastName.sv,awayTeam.commonName.fr,homeTeam.commonName.fr,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,winningGoalie.lastName.de,specialEvent.parentId,specialEvent.name.default,specialEvent.name.fr,periodDescriptor.otPeriods,tricode_winteam
2015020001,20152016,2,2015-10-07,False,2015-10-07T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,3,10,Maple Leafs,Toronto,de Toronto,TOR,1,3,REG,3,REG,8471679.0,8476851.0,,,,,,,,,,,,,,,,,,MTL
2015020002,20152016,2,2015-10-07,False,2015-10-08T00:00:00Z,-04:00,-05:00,America/Chicago,OFF,OK,3,Rangers,New York,de New York,NYR,3,16,Blackhawks,Chicago,de Chicago,CHI,2,3,REG,3,REG,8468685.0,8474613.0,,,,,,,,,,,,,,,,,,NYR
2015020003,20152016,2,2015-10-07,False,2015-10-08T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,5,20,Flames,Calgary,de Calgary,CGY,1,3,REG,3,REG,8468011.0,8474091.0,,,,,,,,,,,,,,,,,,VAN
2015020004,20152016,2,2015-10-07,False,2015-10-08T02:30:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,28,Sharks,San Jose,de San Jose,SJS,5,26,Kings,Los Angeles,de Los Angeles,LAK,1,3,REG,3,REG,8474889.0,8470794.0,,,,,,,,,,,,,,,,,,SJS
2015020006,20152016,2,2015-10-08,False,2015-10-08T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,3,7,Sabres,Buffalo,de Buffalo,BUF,1,3,REG,3,REG,8467950.0,8474068.0,,Sénateurs,,,,,,,,,,,,,,,,OTT
2015020005,20152016,2,2015-10-08,False,2015-10-08T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,6,6,Bruins,Boston,de Boston,BOS,2,3,REG,3,REG,8471715.0,8471226.0,,,,,,,,,,,,,,,,,,WPG
2015020007,20152016,2,2015-10-08,False,2015-10-08T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,4,Flyers,Philadelphia,de Philadelphie,PHI,2,14,Lightning,Tampa Bay,de Tampa Bay,TBL,3,4,OT,3,OT,8471750.0,8474520.0,,,,,,,,,,,,,,,,,,TBL
2015020009,20152016,2,2015-10-08,False,2015-10-09T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,12,Hurricanes,Carolina,de la Caroline,CAR,1,18,Predators,Nashville,de Nashville,NSH,2,3,REG,3,REG,8471469.0,8478042.0,,,,,,,,,,,,,,,,,,NSH
2015020008,20152016,2,2015-10-08,False,2015-10-09T00:00:00Z,-04:00,-05:00,US/Central,OFF,OK,22,Oilers,Edmonton,d'Edmonton,EDM,1,19,Blues,St. Louis,de St. Louis,STL,3,3,REG,3,REG,8470880.0,8477952.0,,,,,,,,,,,,,,,,,,STL
2015020010,20152016,2,2015-10-08,False,2015-10-09T00:30:00Z,-04:00,-05:00,US/Central,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,0,25,Stars,Dallas,de Dallas,DAL,3,3,REG,3,REG,8474550.0,8477406.0,,,,,,,,,,,,,,,,,,DAL
2015020011,20152016,2,2015-10-08,False,2015-10-09T01:00:00Z,-04:00,-06:00,America/Denver,OFF,OK,30,Wild,Minnesota,du Minnesota,MIN,5,21,Avalanche,Colorado,du Colorado,COL,4,3,REG,3,REG,8471227.0,8470610.0,,,,,,,,,,,,,,,,,,MIN
2015020013,20152016,2,2015-10-09,False,2015-10-09T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,3,Rangers,New York,de New York,NYR,4,29,Blue Jackets,Columbus,de Columbus,CBJ,2,3,REG,3,REG,8468685.0,8475763.0,,,,,,,,,,,,,,,,,,NYR
2015020012,20152016,2,2015-10-09,False,2015-10-09T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,3,1,Devils,New Jersey,du New Jersey,NJD,1,3,REG,3,REG,8474636.0,8471218.0,,,,,,,,,,,,,,,,,,WPG
2015020015,20152016,2,2015-10-09,False,2015-10-09T23:30:00Z,-04:00,-04:00,America/New_York,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,3,2,Islanders,New York,de New York,NYI,2,4,OT,3,OT,8470645.0,8474141.0,,,,,,,,,,,,,,,,,,CHI
2015020014,20152016,2,2015-10-09,False,2015-10-09T23:30:00Z,-04:00,-04:00,America/Detroit,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,0,17,Red Wings,Detroit,de Detroit,DET,4,3,REG,3,REG,8470657.0,8471716.0,,,,,,,,,,,,,,,,,,DET
2015020016,20152016,2,2015-10-09,False,2015-10-10T02:30:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,53,Coyotes,Arizona,de l'Arizona,ARI,4,26,Kings,Los Angeles,de Los Angeles,LAK,1,3,REG,3,REG,8469608.0,8475171.0,,,,,,,,,,,,,,,,,,ARI
2015020017,20152016,2,2015-10-10,False,2015-10-10T17:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,4,7,Sabres,Buffalo,de Buffalo,BUF,1,3,REG,3,REG,8471750.0,8476453.0,,,,,,,,,,,,,,,,,,TBL
2015020019,20152016,2,2015-10-10,False,2015-10-10T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,9,Senators,Ottawa,d'Ottawa,OTT,5,10,Maple Leafs,Toronto,de Toronto,TOR,4,5,SO,3,SO,8467950.0,,,Sénateurs,,,,,,,,,,,,,,,,OTT
2015020023,20152016,2,2015-10-10,False,2015-10-10T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,17,Red Wings,Detroit,de Detroit,DET,4,12,Hurricanes,Carolina,de la Caroline,CAR,3,3,REG,3,REG,8475852.0,8471716.0,,,,,,,,,,,,,,,,,,DET
2015020022,20152016,2,2015-10-10,False,2015-10-10T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,3,15,Capitals,Washington,de Washington,WSH,5,3,REG,3,REG,8474651.0,8475149.0,,,,,,,,,,,,,,,,,,WSH
