id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.number,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,awayTeam.commonName.fr,homeTeam.commonName.fr,winningGoalie.lastName.sv,venue.fi,specialEvent.parentId,specialEvent.name.default,winningGoalie.lastName.de,winningGoalScorer.lastName.fr,specialEvent.name.fr,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,periodDescriptor.otPeriods,tricode_winteam
2018020001,20182019,2,2018-10-03,False,2018-10-03T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,2,10,Maple Leafs,Toronto,de Toronto,TOR,3,4,OT,3,OT,8475883.0,8479318.0,,,,,,,,,,,,,,,,,,,,TOR
2018020002,20182019,2,2018-10-03,False,2018-10-03T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,6,Bruins,Boston,de Boston,BOS,0,15,Capitals,Washington,de Washington,WSH,7,3,REG,3,REG,8474651.0,8471698.0,,,,,,,,,,,,,,,,,,,,WSH
2018020003,20182019,2,2018-10-03,False,2018-10-04T02:00:00Z,-04:00,-07:00,America/Vancouver,OFF,OK,20,Flames,Calgary,de Calgary,CGY,2,23,Canucks,Vancouver,de Vancouver,VAN,5,3,REG,3,REG,8474593.0,8476894.0,,,Markström,,,,,,,,,,,,,,,,,VAN
2018020004,20182019,2,2018-10-03,False,2018-10-04T02:30:00Z,-04:00,-07:00,US/Pacific,OFF,OK,24,Ducks,Anaheim,d'Anaheim,ANA,5,28,Sharks,San Jose,de San Jose,SJS,2,3,REG,3,REG,8476434.0,8477986.0,,,,,,,,,,,,,,,,,,,,ANA
2018020005,20182019,2,2018-10-04,False,2018-10-04T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,6,Bruins,Boston,de Boston,BOS,4,7,Sabres,Buffalo,de Buffalo,BUF,0,3,REG,3,REG,8470860.0,8465009.0,,,,,,,,,,,,,,,,,,,,BOS
2018020007,20182019,2,2018-10-04,False,2018-10-04T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,15,Capitals,Washington,de Washington,WSH,6,5,Penguins,Pittsburgh,de Pittsburgh,PIT,7,4,OT,3,OT,8476899.0,8471724.0,,,,,,,,,,,,,,,,,,,,PIT
2018020008,20182019,2,2018-10-04,False,2018-10-04T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,2,Islanders,New York,de New York,NYI,2,12,Hurricanes,Carolina,de la Caroline,CAR,1,4,OT,3,OT,8471306.0,8474573.0,,,,,,,,,,,,,,,,,,,,NYI
2018020006,20182019,2,2018-10-04,False,2018-10-04T23:30:00Z,-04:00,-04:00,America/New_York,OFF,OK,18,Predators,Nashville,de Nashville,NSH,3,3,Rangers,New York,de New York,NYR,2,3,REG,3,REG,8471469.0,8476925.0,,,,,,,,,,,,,,,,,,,,NSH
2018020010,20182019,2,2018-10-04,False,2018-10-04T23:30:00Z,-04:00,-04:00,America/Detroit,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,3,17,Red Wings,Detroit,de Detroit,DET,2,4,OT,3,OT,8476914.0,8478550.0,,,,,,,,,,,,,,,,,,,,CBJ
2018020009,20182019,2,2018-10-04,False,2018-10-04T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,4,9,Senators,Ottawa,d'Ottawa,OTT,3,4,OT,3,OT,8470320.0,8474141.0,,Sénateurs,,,,,,,,,,,,,,,,,,CHI
