id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.number,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,awayTeam.commonName.fr,winningGoalie.lastName.sv,homeTeam.commonName.fr,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,specialEvent.parentId,specialEvent.name.default,specialEvent.name.fr,winningGoalie.lastName.de,winningGoalie.lastName.es,periodDescriptor.otPeriods,tricode_winteam
2021020001,20212022,2,2021-10-12,False,2021-10-12T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,6,14,Lightning,Tampa Bay,de Tampa Bay,TBL,2,3,REG,3,REG,8477465,8478866.0,/video/pit-tbl-326775812,,,,,,,,,,,,,,,,,,,PIT
2021020002,20212022,2,2021-10-12,False,2021-10-13T02:00:00Z,-04:00,-07:00,US/Pacific,OFF,OK,55,Kraken,Seattle,de Seattle,SEA,3,54,Golden Knights,Vegas,de Vegas,VGK,4,3,REG,3,REG,8475215,8476905.0,/video/sea-vgk-326780816,,,,,,,,,,,,,,,,,,,VGK
2021020003,20212022,2,2021-10-13,False,2021-10-13T23:00:00Z,-04:00,-04:00,America/Toronto,OFF,OK,8,Canadiens,Montréal,de Montréal,MTL,1,10,Maple Leafs,Toronto,de Toronto,TOR,2,3,REG,3,REG,8475789,8477939.0,/video/mtl-tor-326804766,,,,,,,,,,,,,,,,,,,TOR
2021020004,20212022,2,2021-10-13,False,2021-10-13T23:30:00Z,-04:00,-04:00,US/Eastern,OFF,OK,3,Rangers,New York,de New York,NYR,1,15,Capitals,Washington,de Washington,WSH,5,3,REG,3,REG,8477970,8474602.0,/video/nyr-wsh-326805094,,,,,,,,,,,,,,,,,,,WSH
2021020005,20212022,2,2021-10-13,False,2021-10-14T02:00:00Z,-04:00,-06:00,America/Denver,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,2,21,Avalanche,Colorado,du Colorado,COL,4,3,REG,3,REG,8475311,8481524.0,/video/chi-col-326815234,,,,,,,,,,,,,,,,,,,COL
2021020015,20212022,2,2021-10-13,False,2021-10-14T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,52,Jets,Winnipeg,de Winnipeg,WPG,1,24,Ducks,Anaheim,d'Anaheim,ANA,4,3,REG,3,REG,8476434,8482745.0,/video/wpg-ana-326814834,,,,,,,,,,,,,,,,,,,ANA
2021020006,20212022,2,2021-10-13,False,2021-10-14T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,2,22,Oilers,Edmonton,d'Edmonton,EDM,3,5,SO,3,SO,8469608,,/video/van-edm-326815502,,,,,,,,,,,,,,,,,,,EDM
2021020011,20212022,2,2021-10-14,False,2021-10-14T23:00:00Z,-04:00,-04:00,America/New_York,OFF,OK,25,Stars,Dallas,de Dallas,DAL,3,3,Rangers,New York,de New York,NYR,2,4,OT,3,OT,8471418,8480036.0,/video/dal-nyr-326852948,,,,,,,,,,,,,,,,,,,DAL
2021020008,20212022,2,2021-10-14,False,2021-10-14T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,2,9,Senators,Ottawa,d'Ottawa,OTT,3,3,REG,3,REG,8476341,8480029.0,/video/tor-ott-326852648,,,Sénateurs,,,,,,,,,,,,,,,,OTT
2021020010,20212022,2,2021-10-14,False,2021-10-14T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,5,Penguins,Pittsburgh,de Pittsburgh,PIT,4,13,Panthers,Florida,de la Floride,FLA,5,4,OT,3,OT,8475683,8477409.0,/video/pit-fla-326851698,,,,,,,,,,,,,,,,,,,FLA
