id,season,gameType,gameDate,neutralSite,startTimeUTC,easternUTCOffset,venueUTCOffset,venueTimezone,gameState,gameScheduleState,awayTeam.id,awayTeam.commonName.default,awayTeam.placeNameWithPreposition.default,awayTeam.placeNameWithPreposition.fr,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.commonName.default,homeTeam.placeNameWithPreposition.default,homeTeam.placeNameWithPreposition.fr,homeTeam.abbrev,homeTeam.score,periodDescriptor.number,periodDescriptor.periodType,periodDescriptor.maxRegulationPeriods,gameOutcome.lastPeriodType,winningGoalie.playerId,winningGoalScorer.playerId,condensedGame,winningGoalie.lastName.sv,awayTeam.commonName.fr,homeTeam.commonName.fr,specialEvent.parentId,specialEvent.name.default,specialEvent.name.fr,seriesUrl,seriesStatus.round,seriesStatus.seriesAbbrev,seriesStatus.seriesTitle,seriesStatus.seriesLetter,seriesStatus.neededToWin,seriesStatus.topSeedWins,seriesStatus.bottomSeedWins,seriesStatus.gameNumberOfSeries,ticketsLinkFr,periodDescriptor.otPeriods,winningGoalScorer.lastName.fr,winningGoalie.lastName.de,venue.cs,venue.fi,venue.sk,tricode_winteam
2022020001,20222023,2,2022-10-07,True,2022-10-07T18:00:00Z,-04:00,+02:00,Europe/Prague,OFF,OK,28,Sharks,San Jose,de San Jose,SJS,1.0,18,Predators,Nashville,de Nashville,NSH,4.0,3.0,REG,3,REG,8477424.0,8480009.0,/video/sjs-nsh-336156686,,,,36.0,2022 NHL Global Series,,,,,,,,,,,,,,,O2 arena,O2 Arena,O2 Arena,NSH
2022020002,20222023,2,2022-10-08,True,2022-10-08T18:00:00Z,-04:00,+02:00,Europe/Prague,OFF,OK,18,Predators,Nashville,de Nashville,NSH,3.0,28,Sharks,San Jose,de San Jose,SJS,2.0,3.0,REG,3,REG,8480947.0,8475799.0,/video/nsh-sjs-336188438,,,,36.0,2022 NHL Global Series,,,,,,,,,,,,,,,O2 arena,O2 Arena,O2 Arena,NSH
2022020003,20222023,2,2022-10-11,False,2022-10-11T23:30:00Z,-04:00,-04:00,America/New_York,OFF,OK,14,Lightning,Tampa Bay,de Tampa Bay,TBL,1.0,3,Rangers,New York,de New York,NYR,3.0,3.0,REG,3,REG,8478048.0,8476459.0,/video/tbl-nyr-336266102,,,,,,,,,,,,,,,,,,,,,,,NYR
2022020004,20222023,2,2022-10-11,False,2022-10-12T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,54,Golden Knights,Vegas,de Vegas,VGK,4.0,26,Kings,Los Angeles,de Los Angeles,LAK,3.0,3.0,REG,3,REG,8480313.0,8475913.0,/video/vgk-lak-336271362,,,,,,,,,,,,,,,,,,,,,,,VGK
2022020006,20222023,2,2022-10-12,False,2022-10-12T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,29,Blue Jackets,Columbus,de Columbus,CBJ,1.0,12,Hurricanes,Carolina,de la Caroline,CAR,4.0,3.0,REG,3,REG,8475883.0,8476869.0,/video/cbj-car-336300666,,,,,,,,,,,,,,,,,,,,,,,CAR
2022020007,20222023,2,2022-10-12,False,2022-10-12T23:00:00Z,-04:00,-04:00,America/Montreal,OFF,OK,10,Maple Leafs,Toronto,de Toronto,TOR,3.0,8,Canadiens,Montréal,de Montréal,MTL,4.0,3.0,REG,3,REG,8474596.0,8476981.0,/video/tor-mtl-336303222,,,,,,,,,,,,,,,,,,,,,,,MTL
2022020005,20222023,2,2022-10-12,False,2022-10-12T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,6,Bruins,Boston,de Boston,BOS,5.0,15,Capitals,Washington,de Washington,WSH,2.0,3.0,REG,3,REG,8476999.0,8475791.0,/video/bos-wsh-336300564,,,,,,,,,,,,,,,,,,,,,,,BOS
2022020008,20222023,2,2022-10-12,False,2022-10-13T01:30:00Z,-04:00,-06:00,America/Denver,OFF,OK,16,Blackhawks,Chicago,de Chicago,CHI,2.0,21,Avalanche,Colorado,du Colorado,COL,5.0,3.0,REG,3,REG,8480382.0,8477476.0,/video/chi-col-336310860,,,,,,,,,,,,,,,,,,,,,,,COL
2022020010,20222023,2,2022-10-12,False,2022-10-13T02:00:00Z,-04:00,-06:00,America/Edmonton,OFF,OK,23,Canucks,Vancouver,de Vancouver,VAN,3.0,22,Oilers,Edmonton,d'Edmonton,EDM,5.0,3.0,REG,3,REG,8475789.0,8478402.0,/video/van-edm-336312520,,,,,,,,,,,,,,,,,,,,,,,EDM
2022020009,20222023,2,2022-10-12,False,2022-10-13T02:00:00Z,-04:00,-07:00,America/Los_Angeles,OFF,OK,55,Kraken,Seattle,de Seattle,SEA,4.0,24,Ducks,Anaheim,d'Anaheim,ANA,5.0,4.0,OT,3,OT,8476434.0,8478873.0,/video/sea-ana-336311752,,,,,,,,,,,,,,,,,,,,,,,ANA
2022020011,20222023,2,2022-10-13,False,2022-10-13T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,53,Coyotes,Arizona,de l'Arizona,ARI,2.0,5,Penguins,Pittsburgh,de Pittsburgh,PIT,6.0,3.0,REG,3,REG,8477465.0,8477404.0,/video/ari-pit-336347404,,,,,,,,,,,,,,,,,,,,,,,PIT
2022020012,20222023,2,2022-10-13,False,2022-10-13T23:00:00Z,-04:00,-04:00,US/Eastern,OFF,OK,1,Devils,New Jersey,du New Jersey,NJD,2.0,4,Flyers,Philadelphia,de Philadelphie,PHI,5.0,3.0,REG,3,REG,8479394.0,8480028.0,/video/njd-phi-336346296,,,,,,,,,,,,,,,,,,,,,,,PHI
