gameIdx,team_tri,gameid,teamloc,goals,win,seasonIdx,gameDate,gameEnd
NJD_BUF_2024-10-04,NJD,2024020001,away,4,1,2,2024-10-04,REG
NJD_BUF_2024-10-04,BUF,2024020001,home,1,0,2,2024-10-04,REG
BUF_NJD_2024-10-05,BUF,2024020002,away,1,0,2,2024-10-05,REG
BUF_NJD_2024-10-05,NJD,2024020002,home,3,1,2,2024-10-05,REG
STL_SEA_2024-10-08,STL,2024020003,away,3,1,2,2024-10-08,REG
STL_SEA_2024-10-08,SEA,2024020003,home,2,0,2,2024-10-08,REG
BOS_FLA_2024-10-08,BOS,2024020004,away,4,0,2,2024-10-08,REG
BOS_FLA_2024-10-08,FLA,2024020004,home,6,1,2,2024-10-08,REG
CHI_UTA_2024-10-08,CHI,2024020005,away,2,0,2,2024-10-08,REG
CHI_UTA_2024-10-08,UTA,2024020005,home,5,1,2,2024-10-08,REG
TOR_MTL_2024-10-09,TOR,2024020006,away,0,0,2,2024-10-09,REG
TOR_MTL_2024-10-09,MTL,2024020006,home,1,1,2,2024-10-09,REG
NYR_PIT_2024-10-09,NYR,2024020007,away,6,1,2,2024-10-09,REG
NYR_PIT_2024-10-09,PIT,2024020007,home,0,0,2,2024-10-09,REG
COL_VGK_2024-10-09,COL,2024020010,away,4,0,2,2024-10-09,REG
COL_VGK_2024-10-09,VGK,2024020010,home,8,1,2,2024-10-09,REG
CGY_VAN_2024-10-09,CGY,2024020009,away,6,1,2,2024-10-09,OT
CGY_VAN_2024-10-09,VAN,2024020009,home,5,0,2,2024-10-09,OT
WPG_EDM_2024-10-09,WPG,2024020008,away,6,1,2,2024-10-09,REG
WPG_EDM_2024-10-09,EDM,2024020008,home,0,0,2,2024-10-09,REG
MTL_BOS_2024-10-10,MTL,2024020011,away,4,0,2,2024-10-10,REG
MTL_BOS_2024-10-10,BOS,2024020011,home,6,1,2,2024-10-10,REG
TOR_NJD_2024-10-10,TOR,2024020015,away,4,1,2,2024-10-10,REG
TOR_NJD_2024-10-10,NJD,2024020015,home,2,0,2,2024-10-10,REG
LAK_BUF_2024-10-10,LAK,2024020012,away,3,1,2,2024-10-10,REG
LAK_BUF_2024-10-10,BUF,2024020012,home,1,0,2,2024-10-10,REG
FLA_OTT_2024-10-10,FLA,2024020013,away,1,0,2,2024-10-10,REG
FLA_OTT_2024-10-10,OTT,2024020013,home,3,1,2,2024-10-10,REG
UTA_NYI_2024-10-10,UTA,2024020016,away,5,1,2,2024-10-10,OT
UTA_NYI_2024-10-10,NYI,2024020016,home,4,0,2,2024-10-10,OT
DAL_NSH_2024-10-10,DAL,2024020017,away,4,1,2,2024-10-10,REG
DAL_NSH_2024-10-10,NSH,2024020017,home,3,0,2,2024-10-10,REG
PIT_DET_2024-10-10,PIT,2024020014,away,6,1,2,2024-10-10,REG
PIT_DET_2024-10-10,DET,2024020014,home,3,0,2,2024-10-10,REG
CBJ_MIN_2024-10-10,CBJ,2024020018,away,2,0,2,2024-10-10,REG
CBJ_MIN_2024-10-10,MIN,2024020018,home,3,1,2,2024-10-10,REG
STL_SJS_2024-10-10,STL,2024020019,away,5,1,2,2024-10-10,OT
STL_SJS_2024-10-10,SJS,2024020019,home,4,0,2,2024-10-10,OT
TBL_CAR_2024-10-11,TBL,2024020020,away,4,1,2,2024-10-11,REG
TBL_CAR_2024-10-11,CAR,2024020020,home,1,0,2,2024-10-11,REG
CHI_WPG_2024-10-11,CHI,2024020021,away,1,0,2,2024-10-11,OT
CHI_WPG_2024-10-11,WPG,2024020021,home,2,1,2,2024-10-11,OT
STL_VGK_2024-10-11,STL,2024020023,away,3,0,2,2024-10-11,REG
STL_VGK_2024-10-11,VGK,2024020023,home,4,1,2,2024-10-11,REG
PHI_VAN_2024-10-11,PHI,2024020022,away,3,1,2,2024-10-11,SO
PHI_VAN_2024-10-11,VAN,2024020022,home,2,0,2,2024-10-11,SO
LAK_BOS_2024-10-12,LAK,2024020024,away,1,0,2,2024-10-12,OT
LAK_BOS_2024-10-12,BOS,2024020024,home,2,1,2,2024-10-12,OT
NJD_WSH_2024-10-12,NJD,2024020031,away,5,1,2,2024-10-12,REG
NJD_WSH_2024-10-12,WSH,2024020031,home,3,0,2,2024-10-12,REG
PIT_TOR_2024-10-12,PIT,2024020026,away,2,0,2,2024-10-12,REG
PIT_TOR_2024-10-12,TOR,2024020026,home,4,1,2,2024-10-12,REG
OTT_MTL_2024-10-12,OTT,2024020027,away,1,0,2,2024-10-12,REG
OTT_MTL_2024-10-12,MTL,2024020027,home,4,1,2,2024-10-12,REG
UTA_NYR_2024-10-12,UTA,2024020030,away,6,1,2,2024-10-12,OT
UTA_NYR_2024-10-12,NYR,2024020030,home,5,0,2,2024-10-12,OT
NSH_DET_2024-10-12,NSH,2024020028,away,0,0,2,2024-10-12,REG
NSH_DET_2024-10-12,DET,2024020028,home,3,1,2,2024-10-12,REG
FLA_BUF_2024-10-12,FLA,2024020025,away,2,0,2,2024-10-12,REG
FLA_BUF_2024-10-12,BUF,2024020025,home,5,1,2,2024-10-12,REG
SEA_MIN_2024-10-12,SEA,2024020033,away,5,1,2,2024-10-12,SO
SEA_MIN_2024-10-12,MIN,2024020033,home,4,0,2,2024-10-12,SO
NYI_DAL_2024-10-12,NYI,2024020032,away,0,0,2,2024-10-12,REG
NYI_DAL_2024-10-12,DAL,2024020032,home,3,1,2,2024-10-12,REG
CBJ_COL_2024-10-12,CBJ,2024020034,away,6,1,2,2024-10-12,REG
CBJ_COL_2024-10-12,COL,2024020034,home,4,0,2,2024-10-12,REG
PHI_CGY_2024-10-12,PHI,2024020035,away,3,0,2,2024-10-12,REG
PHI_CGY_2024-10-12,CGY,2024020035,home,6,1,2,2024-10-12,REG
ANA_SJS_2024-10-12,ANA,2024020037,away,2,1,2,2024-10-12,REG
ANA_SJS_2024-10-12,SJS,2024020037,home,0,0,2,2024-10-12,REG
CHI_EDM_2024-10-12,CHI,2024020036,away,5,1,2,2024-10-12,REG
CHI_EDM_2024-10-12,EDM,2024020036,home,2,0,2,2024-10-12,REG
MIN_WPG_2024-10-13,MIN,2024020038,away,1,0,2,2024-10-13,OT
MIN_WPG_2024-10-13,WPG,2024020038,home,2,1,2,2024-10-13,OT
SEA_DAL_2024-10-13,SEA,2024020039,away,0,0,2,2024-10-13,REG
SEA_DAL_2024-10-13,DAL,2024020039,home,2,1,2,2024-10-13,REG
CGY_EDM_2024-10-13,CGY,2024020040,away,4,1,2,2024-10-13,REG
CGY_EDM_2024-10-13,EDM,2024020040,home,1,0,2,2024-10-13,REG
ANA_VGK_2024-10-13,ANA,2024020041,away,1,0,2,2024-10-13,REG
ANA_VGK_2024-10-13,VGK,2024020041,home,3,1,2,2024-10-13,REG
UTA_NJD_2024-10-14,UTA,2024020044,away,0,0,2,2024-10-14,REG
UTA_NJD_2024-10-14,NJD,2024020044,home,3,1,2,2024-10-14,REG
FLA_BOS_2024-10-14,FLA,2024020042,away,4,1,2,2024-10-14,REG
FLA_BOS_2024-10-14,BOS,2024020042,home,3,0,2,2024-10-14,REG
LAK_OTT_2024-10-14,LAK,2024020043,away,7,0,2,2024-10-14,OT
LAK_OTT_2024-10-14,OTT,2024020043,home,8,1,2,2024-10-14,OT
DET_NYR_2024-10-14,DET,2024020045,away,1,0,2,2024-10-14,REG
DET_NYR_2024-10-14,NYR,2024020045,home,4,1,2,2024-10-14,REG
PIT_MTL_2024-10-14,PIT,2024020046,away,6,1,2,2024-10-14,REG
PIT_MTL_2024-10-14,MTL,2024020046,home,3,0,2,2024-10-14,REG
NYI_COL_2024-10-14,NYI,2024020047,away,6,1,2,2024-10-14,REG
NYI_COL_2024-10-14,COL,2024020047,home,2,0,2,2024-10-14,REG
VAN_TBL_2024-10-15,VAN,2024020048,away,1,0,2,2024-10-15,REG
VAN_TBL_2024-10-15,TBL,2024020048,home,4,1,2,2024-10-15,REG
NJD_CAR_2024-10-15,NJD,2024020050,away,2,0,2,2024-10-15,REG
NJD_CAR_2024-10-15,CAR,2024020050,home,4,1,2,2024-10-15,REG
VGK_WSH_2024-10-15,VGK,2024020049,away,2,0,2,2024-10-15,REG
VGK_WSH_2024-10-15,WSH,2024020049,home,4,1,2,2024-10-15,REG
FLA_CBJ_2024-10-15,FLA,2024020051,away,4,1,2,2024-10-15,REG
FLA_CBJ_2024-10-15,CBJ,2024020051,home,3,0,2,2024-10-15,REG
MIN_STL_2024-10-15,MIN,2024020052,away,4,1,2,2024-10-15,REG
MIN_STL_2024-10-15,STL,2024020052,home,1,0,2,2024-10-15,REG
SEA_NSH_2024-10-15,SEA,2024020053,away,7,1,2,2024-10-15,REG
SEA_NSH_2024-10-15,NSH,2024020053,home,3,0,2,2024-10-15,REG
SJS_DAL_2024-10-15,SJS,2024020054,away,2,0,2,2024-10-15,SO
SJS_DAL_2024-10-15,DAL,2024020054,home,3,1,2,2024-10-15,SO
CHI_CGY_2024-10-15,CHI,2024020055,away,1,0,2,2024-10-15,REG
CHI_CGY_2024-10-15,CGY,2024020055,home,3,1,2,2024-10-15,REG
PHI_EDM_2024-10-15,PHI,2024020056,away,3,0,2,2024-10-15,OT
PHI_EDM_2024-10-15,EDM,2024020056,home,4,1,2,2024-10-15,OT
BUF_PIT_2024-10-16,BUF,2024020057,away,5,0,2,2024-10-16,OT
BUF_PIT_2024-10-16,PIT,2024020057,home,6,1,2,2024-10-16,OT
LAK_TOR_2024-10-16,LAK,2024020058,away,2,0,2,2024-10-16,REG
LAK_TOR_2024-10-16,TOR,2024020058,home,6,1,2,2024-10-16,REG
BOS_COL_2024-10-16,BOS,2024020059,away,5,1,2,2024-10-16,REG
BOS_COL_2024-10-16,COL,2024020059,home,3,0,2,2024-10-16,REG
UTA_ANA_2024-10-16,UTA,2024020060,away,4,0,2,2024-10-16,OT
UTA_ANA_2024-10-16,ANA,2024020060,home,5,1,2,2024-10-16,OT
LAK_MTL_2024-10-17,LAK,2024020061,away,4,1,2,2024-10-17,REG
LAK_MTL_2024-10-17,MTL,2024020061,home,1,0,2,2024-10-17,REG
VGK_TBL_2024-10-17,VGK,2024020064,away,3,0,2,2024-10-17,REG
VGK_TBL_2024-10-17,TBL,2024020064,home,4,1,2,2024-10-17,REG
NJD_OTT_2024-10-17,NJD,2024020062,away,3,1,2,2024-10-17,REG
NJD_OTT_2024-10-17,OTT,2024020062,home,1,0,2,2024-10-17,REG
VAN_FLA_2024-10-17,VAN,2024020065,away,3,1,2,2024-10-17,OT
VAN_FLA_2024-10-17,FLA,2024020065,home,2,0,2,2024-10-17,OT
BUF_CBJ_2024-10-17,BUF,2024020067,away,4,0,2,2024-10-17,REG
BUF_CBJ_2024-10-17,CBJ,2024020067,home,6,1,2,2024-10-17,REG
DAL_WSH_2024-10-17,DAL,2024020066,away,2,0,2,2024-10-17,REG
DAL_WSH_2024-10-17,WSH,2024020066,home,3,1,2,2024-10-17,REG
NYR_DET_2024-10-17,NYR,2024020063,away,5,1,2,2024-10-17,REG
NYR_DET_2024-10-17,DET,2024020063,home,2,0,2,2024-10-17,REG
NYI_STL_2024-10-17,NYI,2024020068,away,0,0,2,2024-10-17,OT
NYI_STL_2024-10-17,STL,2024020068,home,1,1,2,2024-10-17,OT
EDM_NSH_2024-10-17,EDM,2024020069,away,4,1,2,2024-10-17,REG
EDM_NSH_2024-10-17,NSH,2024020069,home,2,0,2,2024-10-17,REG
SJS_CHI_2024-10-17,SJS,2024020070,away,2,0,2,2024-10-17,REG
SJS_CHI_2024-10-17,CHI,2024020070,home,4,1,2,2024-10-17,REG
PHI_SEA_2024-10-17,PHI,2024020071,away,4,0,2,2024-10-17,REG
PHI_SEA_2024-10-17,SEA,2024020071,home,6,1,2,2024-10-17,REG
CAR_PIT_2024-10-18,CAR,2024020072,away,4,1,2,2024-10-18,REG
CAR_PIT_2024-10-18,PIT,2024020072,home,1,0,2,2024-10-18,REG
SJS_WPG_2024-10-18,SJS,2024020073,away,3,0,2,2024-10-18,REG
SJS_WPG_2024-10-18,WPG,2024020073,home,8,1,2,2024-10-18,REG
ANA_COL_2024-10-18,ANA,2024020074,away,3,0,2,2024-10-18,OT
ANA_COL_2024-10-18,COL,2024020074,home,4,1,2,2024-10-18,OT
TBL_OTT_2024-10-19,TBL,2024020075,away,4,0,2,2024-10-19,REG
TBL_OTT_2024-10-19,OTT,2024020075,home,5,1,2,2024-10-19,REG
DET_NSH_2024-10-19,DET,2024020076,away,5,1,2,2024-10-19,REG
DET_NSH_2024-10-19,NSH,2024020076,home,2,0,2,2024-10-19,REG
EDM_DAL_2024-10-19,EDM,2024020077,away,1,0,2,2024-10-19,REG
EDM_DAL_2024-10-19,DAL,2024020077,home,4,1,2,2024-10-19,REG
VGK_FLA_2024-10-19,VGK,2024020078,away,3,0,2,2024-10-19,OT
VGK_FLA_2024-10-19,FLA,2024020078,home,4,1,2,2024-10-19,OT
WSH_NJD_2024-10-19,WSH,2024020080,away,6,1,2,2024-10-19,OT
WSH_NJD_2024-10-19,NJD,2024020080,home,5,0,2,2024-10-19,OT
MTL_NYI_2024-10-19,MTL,2024020081,away,3,0,2,2024-10-19,SO
MTL_NYI_2024-10-19,NYI,2024020081,home,4,1,2,2024-10-19,SO
MIN_CBJ_2024-10-19,MIN,2024020083,away,3,1,2,2024-10-19,REG
MIN_CBJ_2024-10-19,CBJ,2024020083,home,1,0,2,2024-10-19,REG
NYR_TOR_2024-10-19,NYR,2024020079,away,4,1,2,2024-10-19,REG
NYR_TOR_2024-10-19,TOR,2024020079,home,1,0,2,2024-10-19,REG
CAR_STL_2024-10-19,CAR,2024020084,away,3,0,2,2024-10-19,REG
CAR_STL_2024-10-19,STL,2024020084,home,4,1,2,2024-10-19,REG
VAN_PHI_2024-10-19,VAN,2024020082,away,3,1,2,2024-10-19,REG
VAN_PHI_2024-10-19,PHI,2024020082,home,0,0,2,2024-10-19,REG
BUF_CHI_2024-10-19,BUF,2024020085,away,4,1,2,2024-10-19,REG
BUF_CHI_2024-10-19,CHI,2024020085,home,2,0,2,2024-10-19,REG
BOS_UTA_2024-10-19,BOS,2024020086,away,1,0,2,2024-10-19,OT
BOS_UTA_2024-10-19,UTA,2024020086,home,2,1,2,2024-10-19,OT
CGY_SEA_2024-10-19,CGY,2024020087,away,1,0,2,2024-10-19,OT
CGY_SEA_2024-10-19,SEA,2024020087,home,2,1,2,2024-10-19,OT
PIT_WPG_2024-10-20,PIT,2024020088,away,3,0,2,2024-10-20,REG
PIT_WPG_2024-10-20,WPG,2024020088,home,6,1,2,2024-10-20,REG
LAK_ANA_2024-10-20,LAK,2024020090,away,4,1,2,2024-10-20,REG
LAK_ANA_2024-10-20,ANA,2024020090,home,1,0,2,2024-10-20,REG
COL_SJS_2024-10-20,COL,2024020089,away,4,1,2,2024-10-20,REG
COL_SJS_2024-10-20,SJS,2024020089,home,1,0,2,2024-10-20,REG
