,team_tri_for,gameid_for,teamloc_for,goals_for,hits_for,goals_pp_for,shots_for,shots_blocked_for,poss_giveaway_for,poss_takeaway_for,win_for,seasonIdx_for,gameDate_for,gameEnd_for,gameDate_prev_for,gameDate_del_for,gameIdx_next_for,team_tri_against,gameid_against,teamloc_against,goals_against,hits_against,goals_pp_against,shots_against,shots_blocked_against,poss_giveaway_against,poss_takeaway_against,win_against,seasonIdx_against,gameDate_against,gameEnd_against,gameDate_prev_against,gameDate_del_against,gameIdx_now_against,gameIdx_next_against,fenwick_for,corsi_for,fenwick_against,corsi_against,corsi_lvl,corsi_pct,fenwick_lvl,rshots_for,rshots_blocked_for,rshots_against,rshots_blocked_against,rgoals_for,rgoals_against,rpe,rpe_10,rwin,rgame,rwp,rfenwick_for,rfenwick_against,rfenwick_lvl,rcorsi_for,rcorsi_against,rcorsi_lvl,rcorsi_pct,team_tri_for_oppo,gameid_for_oppo,teamloc_for_oppo,goals_for_oppo,hits_for_oppo,goals_pp_for_oppo,shots_for_oppo,shots_blocked_for_oppo,poss_giveaway_for_oppo,poss_takeaway_for_oppo,win_for_oppo,seasonIdx_for_oppo,gameDate_for_oppo,gameEnd_for_oppo,gameDate_prev_for_oppo,gameDate_del_for_oppo,gameIdx_now_for_oppo,gameIdx_next_for_oppo,team_tri_against_oppo,gameid_against_oppo,teamloc_against_oppo,goals_against_oppo,hits_against_oppo,goals_pp_against_oppo,shots_against_oppo,shots_blocked_against_oppo,poss_giveaway_against_oppo,poss_takeaway_against_oppo,win_against_oppo,seasonIdx_against_oppo,gameDate_against_oppo,gameEnd_against_oppo,gameDate_prev_against_oppo,gameDate_del_against_oppo,gameIdx_now_against_oppo,gameIdx_next_against_oppo,fenwick_for_oppo,corsi_for_oppo,fenwick_against_oppo,corsi_against_oppo,corsi_lvl_oppo,corsi_pct_oppo,fenwick_lvl_oppo,rshots_for_oppo,rshots_blocked_for_oppo,rshots_against_oppo,rshots_blocked_against_oppo,rgoals_for_oppo,rgoals_against_oppo,rpe_oppo,rpe_10_oppo,rwin_oppo,rgame_oppo,rwp_oppo,rfenwick_for_oppo,rfenwick_against_oppo,rfenwick_lvl_oppo,rcorsi_for_oppo,rcorsi_against_oppo,rcorsi_lvl_oppo,rcorsi_pct_oppo,fenwick_lvl_for,corsi_lvl_for,rpe_for,rwin_for,rgame_for,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,team_tri_for_against,fenwick_lvl_against,corsi_lvl_against,rpe_against,rwin_against,rgame_against,wp_against,kpi_corsi_against,kpi_fenwick_against,kpi_pe_against,rwin_fittedPE_against,wp_own_against,wp_ow_against,wp_oow_against,rpi_against,pairwise_win_against,kpi_pairwise_against,kpi_rpi_against,kpi_wp_against,Final_against,idx_OppoGood,idx_OppoBetter,win_for_better,win_for_expected,yr_season
0,COL,2025020441,away,3,1.0,0.0,2.0,2.0,3.0,0.0,1,2,2025-12-06,OT,,,,NYR,2025020441,home,2,6.0,0.0,4.0,1.0,4.0,1.0,0,2,2025-12-06,OT,,,COL_NYR_2025-12-06,,2.0,4.0,4.0,5.0,-1.0,0.4444444444444444,-2.0,2.0,2.0,4.0,1.0,3,2,0.6923076923076923,,1,1,1.0,2.0,4.0,-2.0,4.0,5.0,-1.0,0.4444444444444444,NYR,2025020441,home,2,6.0,0.0,4.0,1.0,4.0,1.0,0,2,2025-12-06,OT,,,COL_NYR_2025-12-06,,COL,2025020441,away,3,1.0,0.0,2.0,2.0,3.0,0.0,1,2,2025-12-06,OT,,,COL_NYR_2025-12-06,,4.0,5.0,2.0,4.0,1.0,0.5555555555555556,2.0,4.0,1.0,2.0,2.0,2,3,0.3076923076923077,,0,1,0.0,4.0,2.0,2.0,5.0,4.0,1.0,0.5555555555555556,-2.0,-1.0,0.6923076923076923,1,1,1.0,0.4166666666666667,0.35714285714285715,0.6923076923076923,49.47955692307692,1.0,0.0,,,,,,1.0,0.6086956521739131,NYR,2.0,1.0,0.3076923076923077,0,1,0.0,0.5833333333333334,0.6428571428571429,0.3076923076923077,23.94529307692308,0.0,1.0,,,,,,0.0,0.391304347826087,False,False,0,0,2025
1,NYR,2025020441,home,2,6.0,0.0,4.0,1.0,4.0,1.0,0,2,2025-12-06,OT,,,,COL,2025020441,away,3,1.0,0.0,2.0,2.0,3.0,0.0,1,2,2025-12-06,OT,,,COL_NYR_2025-12-06,,4.0,5.0,2.0,4.0,1.0,0.5555555555555556,2.0,4.0,1.0,2.0,2.0,2,3,0.3076923076923077,,0,1,0.0,4.0,2.0,2.0,5.0,4.0,1.0,0.5555555555555556,COL,2025020441,away,3,1.0,0.0,2.0,2.0,3.0,0.0,1,2,2025-12-06,OT,,,COL_NYR_2025-12-06,,NYR,2025020441,home,2,6.0,0.0,4.0,1.0,4.0,1.0,0,2,2025-12-06,OT,,,COL_NYR_2025-12-06,,2.0,4.0,4.0,5.0,-1.0,0.4444444444444444,-2.0,2.0,2.0,4.0,1.0,3,2,0.6923076923076923,,1,1,1.0,2.0,4.0,-2.0,4.0,5.0,-1.0,0.4444444444444444,2.0,1.0,0.3076923076923077,0,1,0.0,0.5833333333333334,0.6428571428571429,0.3076923076923077,23.94529307692308,0.0,1.0,,,,,,0.0,0.391304347826087,COL,-2.0,-1.0,0.6923076923076923,1,1,1.0,0.4166666666666667,0.35714285714285715,0.6923076923076923,49.47955692307692,1.0,0.0,,,,,,1.0,0.6086956521739131,False,False,0,0,2025
2,CBJ,2025020442,away,6,2.0,0.0,1.0,5.0,1.0,1.0,0,2,2025-12-06,OT,,,,FLA,2025020442,home,7,5.0,1.0,8.0,0.0,2.0,0.0,1,2,2025-12-06,OT,,,CBJ_FLA_2025-12-06,,1.0,6.0,8.0,8.0,-2.0,0.42857142857142855,-7.0,1.0,5.0,8.0,0.0,6,7,0.4235294117647059,,0,1,0.0,1.0,8.0,-7.0,6.0,8.0,-2.0,0.42857142857142855,FLA,2025020442,home,7,5.0,1.0,8.0,0.0,2.0,0.0,1,2,2025-12-06,OT,,,CBJ_FLA_2025-12-06,,CBJ,2025020442,away,6,2.0,0.0,1.0,5.0,1.0,1.0,0,2,2025-12-06,OT,,,CBJ_FLA_2025-12-06,,8.0,8.0,1.0,6.0,2.0,0.5714285714285714,7.0,8.0,0.0,1.0,5.0,7,6,0.5764705882352941,,1,1,1.0,8.0,1.0,7.0,8.0,6.0,2.0,0.5714285714285714,-7.0,-2.0,0.4235294117647059,0,1,0.0,0.3333333333333333,0.0,0.4235294117647059,31.63561254117647,0.0,1.0,,,,,,0.0,0.0,FLA,7.0,2.0,0.5764705882352941,1,1,1.0,0.6666666666666666,1.0,0.5764705882352941,41.78923745882353,1.0,0.0,,,,,,1.0,1.0,False,False,0,0,2025
3,FLA,2025020442,home,7,5.0,1.0,8.0,0.0,2.0,0.0,1,2,2025-12-06,OT,,,,CBJ,2025020442,away,6,2.0,0.0,1.0,5.0,1.0,1.0,0,2,2025-12-06,OT,,,CBJ_FLA_2025-12-06,,8.0,8.0,1.0,6.0,2.0,0.5714285714285714,7.0,8.0,0.0,1.0,5.0,7,6,0.5764705882352941,,1,1,1.0,8.0,1.0,7.0,8.0,6.0,2.0,0.5714285714285714,CBJ,2025020442,away,6,2.0,0.0,1.0,5.0,1.0,1.0,0,2,2025-12-06,OT,,,CBJ_FLA_2025-12-06,,FLA,2025020442,home,7,5.0,1.0,8.0,0.0,2.0,0.0,1,2,2025-12-06,OT,,,CBJ_FLA_2025-12-06,,1.0,6.0,8.0,8.0,-2.0,0.42857142857142855,-7.0,1.0,5.0,8.0,0.0,6,7,0.4235294117647059,,0,1,0.0,1.0,8.0,-7.0,6.0,8.0,-2.0,0.42857142857142855,7.0,2.0,0.5764705882352941,1,1,1.0,0.6666666666666666,1.0,0.5764705882352941,41.78923745882353,1.0,0.0,,,,,,1.0,1.0,CBJ,-7.0,-2.0,0.4235294117647059,0,1,0.0,0.3333333333333333,0.0,0.4235294117647059,31.63561254117647,0.0,1.0,,,,,,0.0,0.0,False,False,0,0,2025
4,UTA,2025020448,away,0,2.0,0.0,3.0,3.0,4.0,1.0,0,2,2025-12-06,REG,,,,CGY,2025020448,home,2,1.0,0.0,3.0,4.0,3.0,1.0,1,2,2025-12-06,REG,,,UTA_CGY_2025-12-06,,3.0,6.0,3.0,7.0,-1.0,0.46153846153846156,0.0,3.0,3.0,3.0,4.0,0,2,0.0,,0,1,0.0,3.0,3.0,0.0,6.0,7.0,-1.0,0.46153846153846156,CGY,2025020448,home,2,1.0,0.0,3.0,4.0,3.0,1.0,1,2,2025-12-06,REG,,,UTA_CGY_2025-12-06,,UTA,2025020448,away,0,2.0,0.0,3.0,3.0,4.0,1.0,0,2,2025-12-06,REG,,,UTA_CGY_2025-12-06,,3.0,7.0,3.0,6.0,1.0,0.5384615384615384,0.0,3.0,4.0,3.0,3.0,2,0,1.0,,1,1,1.0,3.0,3.0,0.0,7.0,6.0,1.0,0.5384615384615384,0.0,-1.0,0.0,0,1,0.0,0.4166666666666667,0.5,0.0,3.517882,0.0,1.0,,,,,,0.0,0.30434782608695654,CGY,0.0,1.0,1.0,1,1,1.0,0.5833333333333334,0.5,1.0,69.90696799999999,1.0,0.0,,,,,,1.0,0.6956521739130435,False,False,0,0,2025
5,CGY,2025020448,home,2,1.0,0.0,3.0,4.0,3.0,1.0,1,2,2025-12-06,REG,,,,UTA,2025020448,away,0,2.0,0.0,3.0,3.0,4.0,1.0,0,2,2025-12-06,REG,,,UTA_CGY_2025-12-06,,3.0,7.0,3.0,6.0,1.0,0.5384615384615384,0.0,3.0,4.0,3.0,3.0,2,0,1.0,,1,1,1.0,3.0,3.0,0.0,7.0,6.0,1.0,0.5384615384615384,UTA,2025020448,away,0,2.0,0.0,3.0,3.0,4.0,1.0,0,2,2025-12-06,REG,,,UTA_CGY_2025-12-06,,CGY,2025020448,home,2,1.0,0.0,3.0,4.0,3.0,1.0,1,2,2025-12-06,REG,,,UTA_CGY_2025-12-06,,3.0,6.0,3.0,7.0,-1.0,0.46153846153846156,0.0,3.0,3.0,3.0,4.0,0,2,0.0,,0,1,0.0,3.0,3.0,0.0,6.0,7.0,-1.0,0.46153846153846156,0.0,1.0,1.0,1,1,1.0,0.5833333333333334,0.5,1.0,69.90696799999999,1.0,0.0,,,,,,1.0,0.6956521739130435,UTA,0.0,-1.0,0.0,0,1,0.0,0.4166666666666667,0.5,0.0,3.517882,0.0,1.0,,,,,,0.0,0.30434782608695654,False,False,0,0,2025
6,NJD,2025020443,away,1,2.0,0.0,3.0,0.0,2.0,1.0,0,2,2025-12-06,REG,,,,BOS,2025020443,home,4,1.0,0.0,3.0,3.0,2.0,0.0,1,2,2025-12-06,REG,,,NJD_BOS_2025-12-06,,3.0,3.0,3.0,6.0,-3.0,0.3333333333333333,0.0,3.0,0.0,3.0,3.0,1,4,0.058823529411764705,,0,1,0.0,3.0,3.0,0.0,3.0,6.0,-3.0,0.3333333333333333,BOS,2025020443,home,4,1.0,0.0,3.0,3.0,2.0,0.0,1,2,2025-12-06,REG,,,NJD_BOS_2025-12-06,,NJD,2025020443,away,1,2.0,0.0,3.0,0.0,2.0,1.0,0,2,2025-12-06,REG,,,NJD_BOS_2025-12-06,,3.0,6.0,3.0,3.0,3.0,0.6666666666666666,0.0,3.0,3.0,3.0,0.0,4,1,0.9411764705882353,,1,1,1.0,3.0,3.0,0.0,6.0,3.0,3.0,0.6666666666666666,0.0,-3.0,0.058823529411764705,0,1,0.0,0.25,0.5,0.058823529411764705,7.423122352941177,0.0,1.0,,,,,,0.0,0.2608695652173913,BOS,0.0,3.0,0.9411764705882353,1,1,1.0,0.75,0.5,0.9411764705882353,66.00172764705881,1.0,0.0,,,,,,1.0,0.7391304347826086,False,False,0,0,2025
7,BOS,2025020443,home,4,1.0,0.0,3.0,3.0,2.0,0.0,1,2,2025-12-06,REG,,,,NJD,2025020443,away,1,2.0,0.0,3.0,0.0,2.0,1.0,0,2,2025-12-06,REG,,,NJD_BOS_2025-12-06,,3.0,6.0,3.0,3.0,3.0,0.6666666666666666,0.0,3.0,3.0,3.0,0.0,4,1,0.9411764705882353,,1,1,1.0,3.0,3.0,0.0,6.0,3.0,3.0,0.6666666666666666,NJD,2025020443,away,1,2.0,0.0,3.0,0.0,2.0,1.0,0,2,2025-12-06,REG,,,NJD_BOS_2025-12-06,,BOS,2025020443,home,4,1.0,0.0,3.0,3.0,2.0,0.0,1,2,2025-12-06,REG,,,NJD_BOS_2025-12-06,,3.0,3.0,3.0,6.0,-3.0,0.3333333333333333,0.0,3.0,0.0,3.0,3.0,1,4,0.058823529411764705,,0,1,0.0,3.0,3.0,0.0,3.0,6.0,-3.0,0.3333333333333333,0.0,3.0,0.9411764705882353,1,1,1.0,0.75,0.5,0.9411764705882353,66.00172764705881,1.0,0.0,,,,,,1.0,0.7391304347826086,NJD,0.0,-3.0,0.058823529411764705,0,1,0.0,0.25,0.5,0.058823529411764705,7.423122352941177,0.0,1.0,,,,,,0.0,0.2608695652173913,False,False,0,0,2025
8,NYI,2025020446,away,2,2.0,0.0,3.0,1.0,2.0,0.0,1,2,2025-12-06,REG,,,,TBL,2025020446,home,0,3.0,0.0,4.0,1.0,1.0,2.0,0,2,2025-12-06,REG,,,NYI_TBL_2025-12-06,,3.0,4.0,4.0,5.0,-1.0,0.4444444444444444,-1.0,3.0,1.0,4.0,1.0,2,0,1.0,,1,1,1.0,3.0,4.0,-1.0,4.0,5.0,-1.0,0.4444444444444444,TBL,2025020446,home,0,3.0,0.0,4.0,1.0,1.0,2.0,0,2,2025-12-06,REG,,,NYI_TBL_2025-12-06,,NYI,2025020446,away,2,2.0,0.0,3.0,1.0,2.0,0.0,1,2,2025-12-06,REG,,,NYI_TBL_2025-12-06,,4.0,5.0,3.0,4.0,1.0,0.5555555555555556,1.0,4.0,1.0,3.0,1.0,0,2,0.0,,0,1,0.0,4.0,3.0,1.0,5.0,4.0,1.0,0.5555555555555556,-1.0,-1.0,1.0,1,1,1.0,0.4166666666666667,0.42857142857142855,1.0,69.90696799999999,1.0,0.0,,,,,,1.0,0.6521739130434783,TBL,1.0,1.0,0.0,0,1,0.0,0.5833333333333334,0.5714285714285714,0.0,3.517882,0.0,1.0,,,,,,0.0,0.34782608695652173,False,False,0,0,2025
9,TBL,2025020446,home,0,3.0,0.0,4.0,1.0,1.0,2.0,0,2,2025-12-06,REG,,,,NYI,2025020446,away,2,2.0,0.0,3.0,1.0,2.0,0.0,1,2,2025-12-06,REG,,,NYI_TBL_2025-12-06,,4.0,5.0,3.0,4.0,1.0,0.5555555555555556,1.0,4.0,1.0,3.0,1.0,0,2,0.0,,0,1,0.0,4.0,3.0,1.0,5.0,4.0,1.0,0.5555555555555556,NYI,2025020446,away,2,2.0,0.0,3.0,1.0,2.0,0.0,1,2,2025-12-06,REG,,,NYI_TBL_2025-12-06,,TBL,2025020446,home,0,3.0,0.0,4.0,1.0,1.0,2.0,0,2,2025-12-06,REG,,,NYI_TBL_2025-12-06,,3.0,4.0,4.0,5.0,-1.0,0.4444444444444444,-1.0,3.0,1.0,4.0,1.0,2,0,1.0,,1,1,1.0,3.0,4.0,-1.0,4.0,5.0,-1.0,0.4444444444444444,1.0,1.0,0.0,0,1,0.0,0.5833333333333334,0.5714285714285714,0.0,3.517882,0.0,1.0,,,,,,0.0,0.34782608695652173,NYI,-1.0,-1.0,1.0,1,1,1.0,0.4166666666666667,0.42857142857142855,1.0,69.90696799999999,1.0,0.0,,,,,,1.0,0.6521739130434783,False,False,0,0,2025
