playerId,sweaterNumber,position,goals,assists,points,plusMinus,pim,hits,powerPlayGoals,sog,faceoffWinningPctg,toi,blockedShots,shifts,giveaways,takeaways,name.default,name.cs,name.fi,name.sk,teamid,abbrev,gameid,teamloc,gameDate,seasonIdx,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,goalsAgainst,starter,decision,shotsAgainst,saves
8473533,11,C,0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.636364,17:02,0.0,27.0,0.0,0.0,J. Staal,,,,12.0,CAR,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8478427,20,C,0.0,0.0,0.0,1.0,0,2.0,0.0,1.0,0.529412,20:14,0.0,28.0,3.0,2.0,S. Aho,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8482702,22,C,0.0,1.0,1.0,2.0,2,5.0,0.0,1.0,0.25,16:15,0.0,22.0,3.0,1.0,L. Stankoven,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8482093,24,R,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0,1.0,18:44,1.0,25.0,0.0,2.0,S. Jarvis,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8477940,27,L,1.0,0.0,1.0,1.0,0,0.0,0.0,3.0,0.0,15:28,0.0,23.0,2.0,0.0,N. Ehlers,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8477478,28,L,0.0,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,10:26,0.0,18.0,0.0,0.0,W. Carrier,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8480830,37,R,0.0,0.0,0.0,1.0,0,6.0,0.0,3.0,0.0,16:26,0.0,25.0,0.0,0.0,A. Svechnikov,A. Svečnikov,A. Svetshnikov,A. Svečnikov,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8476921,48,L,0.0,0.0,0.0,0.0,0,2.0,0.0,3.0,0.0,16:01,1.0,25.0,0.0,0.0,J. Martinook,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8480762,50,L,0.0,0.0,0.0,0.0,2,3.0,0.0,1.0,0.0,08:53,0.0,17.0,0.0,0.0,E. Robinson,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8482809,53,R,1.0,1.0,2.0,2.0,2,0.0,0.0,3.0,0.0,14:32,2.0,21.0,0.0,0.0,J. Blake,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8475791,71,L,1.0,0.0,1.0,2.0,0,0.0,0.0,2.0,0.0,14:38,0.0,23.0,0.0,1.0,T. Hall,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8476873,77,L,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.714286,08:50,1.0,17.0,1.0,0.0,M. Jankowski,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8476906,4,D,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,11:54,0.0,19.0,0.0,1.0,S. Gostisbehere,,,,12.0,CAR,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8478970,5,D,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,23:37,4.0,30.0,0.0,1.0,J. Chatfield,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8480817,19,D,0.0,0.0,0.0,2.0,0,1.0,0.0,0.0,0.0,22:59,1.0,32.0,3.0,1.0,K. Miller,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8482100,21,D,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,11:40,0.0,19.0,0.0,0.0,A. Nikishin,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8480336,26,D,0.0,0.0,0.0,2.0,0,2.0,0.0,0.0,0.0,23:50,0.0,33.0,0.0,0.0,S. Walker,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8476958,74,D,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,22:31,2.0,30.0,3.0,1.0,J. Slavin,,,,,,2025030416,away,2026-06-14,3,,,,,,,,,,,,,
8483548,32,G,,,,,0,,,,,60:00,,,,,B. Bussi,,,,12.0,CAR,2025030416,away,2026-06-14,3,15/15,7/7,0/0,22/22,1.0,0.0,0.0,0.0,0.0,True,W,22.0,22.0
8481611,52,G,,,,,0,,,,,00:00,,,,,P. Kochetkov,,P. Kotshetkov,,,,2025030416,away,2026-06-14,3,0/0,0/0,0/0,0/0,,0.0,0.0,0.0,0.0,False,,0.0,0.0
8478403,9,C,0.0,0.0,0.0,-1.0,2,3.0,0.0,2.0,0.444444,24:07,2.0,27.0,0.0,0.0,J. Eichel,,,,54.0,VGK,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8476925,10,C,0.0,0.0,0.0,0.0,0,5.0,0.0,1.0,0.272727,13:11,1.0,21.0,2.0,0.0,C. Sissons,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8481604,16,R,0.0,0.0,0.0,-1.0,0,0.0,0.0,6.0,0.0,17:50,0.0,20.0,1.0,0.0,P. Dorofeyev,P. Dorofejev,P. Dorofejev,P. Dorofejev,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8475191,19,R,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,09:21,0.0,15.0,0.0,0.0,R. Smith,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8479353,21,C,0.0,0.0,0.0,-2.0,0,2.0,0.0,1.0,0.6,14:52,0.0,21.0,0.0,0.0,B. Howden,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8482062,22,R,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,1.0,10:43,0.0,16.0,0.0,0.0,C. Smith,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8475343,26,C,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.333333,11:29,1.0,17.0,1.0,0.0,N. Dowd,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8483890,42,R,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,09:12,0.0,16.0,0.0,0.0,B. Bowman,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8476881,48,C,0.0,0.0,0.0,-1.0,2,4.0,0.0,3.0,0.625,17:00,0.0,22.0,2.0,0.0,T. Hertl,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8477964,49,L,0.0,0.0,0.0,-2.0,0,3.0,0.0,2.0,0.0,11:48,0.0,16.0,0.0,0.0,I. Barbashev,I. Barbašev,I. Barbashov,I. Barbašev,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8475913,61,R,0.0,0.0,0.0,-1.0,0,3.0,0.0,2.0,0.0,23:49,0.0,27.0,3.0,0.0,M. Stone,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8478483,93,R,0.0,0.0,0.0,-3.0,0,3.0,0.0,3.0,0.0,22:58,0.0,28.0,2.0,1.0,M. Marner,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8475188,3,D,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,20:12,0.0,29.0,1.0,0.0,B. McNabb,,,,54.0,VGK,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8478397,4,D,0.0,0.0,0.0,-2.0,2,1.0,0.0,0.0,0.0,19:11,1.0,28.0,1.0,0.0,R. Andersson,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8478468,5,D,0.0,0.0,0.0,0.0,0,7.0,0.0,1.0,0.0,15:27,0.0,24.0,0.0,0.0,J. Lauzon,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8481527,6,D,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13:58,0.0,21.0,0.0,0.0,K. Korczak,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8478396,15,D,0.0,0.0,0.0,-2.0,0,0.0,0.0,0.0,0.0,16:33,2.0,23.0,3.0,1.0,N. Hanifin,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8477447,27,D,0.0,0.0,0.0,-1.0,0,0.0,0.0,1.0,0.0,24:17,0.0,30.0,3.0,0.0,S. Theodore,,,,,,2025030416,home,2026-06-14,3,,,,,,,,,,,,,
8478499,33,G,,,,,0,,,,,00:00,,,,,A. Hill,,,,54.0,VGK,2025030416,home,2026-06-14,3,0/0,0/0,0/0,0/0,,0.0,0.0,0.0,0.0,False,,0.0,0.0
8479394,79,G,,,,,0,,,,,58:02,,,,,C. Hart,,,,,,2025030416,home,2026-06-14,3,17/19,2/2,1/1,20/22,0.909091,2.0,0.0,0.0,2.0,True,L,22.0,20.0
