gameIdx,team_tri,gameid,teamloc,goals,hits,goals_pp,shots,shots_blocked,poss_giveaway,poss_takeaway,win,seasonIdx,gameDate,gameEnd
TBL_NYR_2025-11-29,TBL,2025020391,away,4,0.0,0.0,0.0,1.0,1.0,0.0,1,2,2025-11-29,REG
TBL_NYR_2025-11-29,NYR,2025020391,home,1,2.0,0.0,1.0,0.0,2.0,1.0,0,2,2025-11-29,REG
MTL_COL_2025-11-29,MTL,2025020392,away,2,2.0,0.0,4.0,1.0,0.0,1.0,0,2,2025-11-29,REG
MTL_COL_2025-11-29,COL,2025020392,home,7,0.0,0.0,7.0,0.0,0.0,0.0,1,2,2025-11-29,REG
EDM_SEA_2025-11-29,EDM,2025020393,away,4,2.0,0.0,1.0,1.0,2.0,0.0,1,2,2025-11-29,REG
EDM_SEA_2025-11-29,SEA,2025020393,home,0,2.0,0.0,3.0,1.0,3.0,0.0,0,2,2025-11-29,REG
DET_BOS_2025-11-29,DET,2025020394,away,2,2.0,0.0,0.0,1.0,1.0,0.0,0,2,2025-11-29,SO
DET_BOS_2025-11-29,BOS,2025020394,home,3,0.0,0.0,3.0,1.0,5.0,0.0,1,2,2025-11-29,SO
WPG_NSH_2025-11-29,WPG,2025020397,away,5,7.0,0.0,3.0,4.0,2.0,0.0,1,2,2025-11-29,REG
WPG_NSH_2025-11-29,NSH,2025020397,home,2,1.0,0.0,2.0,0.0,1.0,1.0,0,2,2025-11-29,REG
PHI_NJD_2025-11-29,PHI,2025020395,away,5,1.0,0.0,4.0,3.0,3.0,1.0,1,2,2025-11-29,REG
PHI_NJD_2025-11-29,NJD,2025020395,home,3,2.0,0.0,1.0,0.0,0.0,0.0,0,2,2025-11-29,REG
TOR_PIT_2025-11-29,TOR,2025020396,away,7,1.0,0.0,0.0,5.0,5.0,0.0,1,2,2025-11-29,REG
TOR_PIT_2025-11-29,PIT,2025020396,home,2,3.0,0.0,4.0,2.0,0.0,0.0,0,2,2025-11-29,REG
UTA_STL_2025-11-29,UTA,2025020398,away,0,1.0,0.0,0.0,1.0,0.0,0.0,0,2,2025-11-29,REG
UTA_STL_2025-11-29,STL,2025020398,home,1,3.0,0.0,2.0,4.0,0.0,1.0,1,2,2025-11-29,REG
BUF_MIN_2025-11-29,BUF,2025020399,away,3,0.0,0.0,2.0,0.0,4.0,2.0,1,2,2025-11-29,SO
BUF_MIN_2025-11-29,MIN,2025020399,home,2,2.0,0.0,4.0,3.0,1.0,2.0,0,2,2025-11-29,SO
VAN_LAK_2025-11-29,VAN,2025020401,away,1,0.0,0.0,4.0,1.0,2.0,0.0,0,2,2025-11-29,OT
VAN_LAK_2025-11-29,LAK,2025020401,home,2,2.0,0.0,4.0,1.0,0.0,0.0,1,2,2025-11-29,OT
SJS_VGK_2025-11-29,SJS,2025020400,away,3,0.0,1.0,5.0,3.0,4.0,1.0,0,2,2025-11-29,REG
SJS_VGK_2025-11-29,VGK,2025020400,home,4,0.0,0.0,4.0,3.0,2.0,0.0,1,2,2025-11-29,REG
