gameid,gameType,startTimeUTC,homeTeam.id,homeTeam.name.default,homeTeam.abbrev,homeTeam.logo,awayTeam.id,awayTeam.name.default,awayTeam.abbrev,awayTeam.logo,odds_description,home_odds_value,away_odds_value,currentOddsDate,lastUpdatedUTC,bettingPartner,homeTeam.name.fr,gameid.1,gameid.2,awayTeam.name.fr,gameid.3,gameid
,1,2025-10-04T20:00:00Z,26,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,24,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,PUCK_LINE,140.0,-166.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010090
,1,2025-10-04T20:00:00Z,26,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,24,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,OVER_UNDER,-122.0,102.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010090
,1,2025-10-04T20:00:00Z,26,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,24,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,MONEY_LINE_3_WAY,-130.0,210.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010090
,1,2025-10-04T20:00:00Z,26,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,24,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,MONEY_LINE_2_WAY,-175.0,145.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010090
,1,2025-10-04T20:00:00Z,18,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,12,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,PUCK_LINE,-180.0,150.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010091
,1,2025-10-04T20:00:00Z,18,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,12,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,OVER_UNDER,-130.0,110.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010091
,1,2025-10-04T20:00:00Z,18,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,12,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,MONEY_LINE_3_WAY,185.0,-115.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010091
,1,2025-10-04T20:00:00Z,18,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,12,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,MONEY_LINE_2_WAY,140.0,-166.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010091
,1,2025-10-04T22:00:00Z,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,21,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,PUCK_LINE,-112.0,-108.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010092
,1,2025-10-04T22:00:00Z,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,21,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,OVER_UNDER,-130.0,110.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010092
,1,2025-10-04T22:00:00Z,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,21,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,MONEY_LINE_3_WAY,-200.0,310.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010092
,1,2025-10-04T22:00:00Z,25,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,21,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,MONEY_LINE_2_WAY,-258.0,210.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010092
,1,2025-10-04T23:00:00Z,15,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,PUCK_LINE,140.0,-166.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010093
,1,2025-10-04T23:00:00Z,15,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,OVER_UNDER,-135.0,114.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010093
,1,2025-10-04T23:00:00Z,15,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,MONEY_LINE_3_WAY,-130.0,210.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010093
,1,2025-10-04T23:00:00Z,15,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,29,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,MONEY_LINE_2_WAY,-170.0,142.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010093
,1,2025-10-04T16:30:00Z,4,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,PUCK_LINE,250.0,-345.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010094
,1,2025-10-04T16:30:00Z,4,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,OVER_UNDER,-145.0,114.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010094
,1,2025-10-04T16:30:00Z,4,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,1,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,MONEY_LINE_3_WAY,340.0,340.0,2025-10-04,2025-10-04T18:30:39Z,DraftKings,,,,,,2025010094
