gameid,headshot,team_tri,playerId,sweaterNumber,positionCode,firstName.default,lastName.default
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8467496.png,MTL,8467496,79,D,Andrei,Markov
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8468504.png,TOR,8468504,28,R,Brad,Boyes
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8469521.png,MTL,8469521,14,C,Tomas,Plekanec
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8469707.png,TOR,8469707,15,R,PA,Parenteau
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8470039.png,MTL,8470039,15,L,Tomas,Fleischmann
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8470104.png,MTL,8470104,77,D,Tom,Gilbert
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8470120.png,MTL,8470120,13,R,Alexander,Semin
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8470207.png,TOR,8470207,19,R,Joffrey,Lupul
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8470602.png,TOR,8470602,3,D,Dion,Phaneuf
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8471296.png,MTL,8471296,74,D,Alexei,Emelin
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8471338.png,MTL,8471338,17,C,Torrey,Mitchell
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8471436.png,TOR,8471436,2,D,Matt,Hunwick
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8471476.png,TOR,8471476,26,C,Daniel,Winnik
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8471679.png,MTL,8471679,31,G,Carey,Price
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8471976.png,MTL,8471976,51,C,David,Desharnais
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8473463.png,TOR,8473463,47,C,Leo,Komarov
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8473503.png,TOR,8473503,34,G,James,Reimer
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8473507.png,MTL,8473507,26,D,Jeff,Petry
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8473541.png,TOR,8473541,45,G,Jonathan,Bernier
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8473574.png,TOR,8473574,23,C,Shawn,Matthias
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8474037.png,TOR,8474037,21,L,James,van Riemsdyk
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8474056.png,MTL,8474056,76,D,P.K.,Subban
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8474096.png,TOR,8474096,16,C,Nick,Spaling
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8474157.png,MTL,8474157,67,L,Max,Pacioretty
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8474189.png,MTL,8474189,81,C,Lars,Eller
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8474581.png,TOR,8474581,51,D,Jake,Gardiner
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8474668.png,MTL,8474668,22,R,Dale,Weise
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8475098.png,TOR,8475098,42,C,Tyler,Bozak
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8475172.png,TOR,8475172,43,C,Nazem,Kadri
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8475180.png,TOR,8475180,24,C,Peter,Holland
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8475716.png,TOR,8475716,52,D,Martin,Marincin
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8475758.png,MTL,8475758,21,R,Devante,Smith-Pelly
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8475848.png,MTL,8475848,11,R,Brendan,Gallagher
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8476062.png,TOR,8476062,33,R,Mark,Arcobello
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8476449.png,TOR,8476449,36,D,Scott,Harrington
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8476470.png,MTL,8476470,28,D,Nathan,Beaulieu
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8476808.png,MTL,8476808,32,C,Brian,Flynn
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8476851.png,MTL,8476851,27,C,Alex,Galchenyuk
2015020001,https://assets.nhle.com/mugs/nhl/20152016/TOR/8476853.png,TOR,8476853,44,D,Morgan,Rielly
2015020001,https://assets.nhle.com/mugs/nhl/20152016/MTL/8477237.png,MTL,8477237,39,G,Mike,Condon
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8466148.png,CHI,8466148,81,R,Marian,Hossa
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8467096.png,NYR,8467096,22,D,Dan,Boyle
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8468526.png,NYR,8468526,26,C,Jarret,Stoll
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8468575.png,NYR,8468575,28,C,Dominic,Moore
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8468685.png,NYR,8468685,30,G,Henrik,Lundqvist
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8470041.png,NYR,8470041,61,L,Rick,Nash
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8470110.png,CHI,8470110,6,D,Trevor,Daley
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8470281.png,CHI,8470281,2,D,Duncan,Keith
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8470607.png,CHI,8470607,7,D,Brent,Seabrook
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8470630.png,NYR,8470630,8,D,Kevin,Klein
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8470645.png,CHI,8470645,50,G,Corey,Crawford
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8471254.png,CHI,8471254,29,L,Bryan,Bickell
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8471686.png,NYR,8471686,18,D,Marc,Staal
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8471735.png,NYR,8471735,93,D,Keith,Yandle
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8471769.png,CHI,8471769,4,D,Niklas,Hjalmarsson
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8471956.png,CHI,8471956,11,C,Andrew,Desjardins
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8471958.png,NYR,8471958,5,D,Dan,Girardi
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8473537.png,NYR,8473537,25,L,Viktor,Stalberg
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8473544.png,NYR,8473544,16,C,Derick,Brassard
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8473573.png,CHI,8473573,15,C,Artem,Anisimov
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8473604.png,CHI,8473604,19,C,Jonathan,Toews
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8474141.png,CHI,8474141,88,R,Patrick,Kane
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8474151.png,NYR,8474151,27,D,Ryan,McDonagh
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8474152.png,CHI,8474152,33,G,Scott,Darling
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8474613.png,NYR,8474613,21,C,Derek,Stepan
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8475182.png,CHI,8475182,5,D,David,Rundblad
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8475184.png,NYR,8475184,20,C,Chris,Kreider
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8475323.png,CHI,8475323,16,C,Marcus,Kruger
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8475692.png,NYR,8475692,36,C,Mats,Zuccarello
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8475715.png,NYR,8475715,24,C,Oscar,Lindberg
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8475763.png,NYR,8475763,13,R,Kevin,Hayes
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8475855.png,NYR,8475855,19,R,Jesper,Fast
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8476116.png,CHI,8476116,28,C,Ryan,Garbutt
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8476381.png,CHI,8476381,65,C,Andrew,Shaw
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8476468.png,NYR,8476468,10,C,J.T.,Miller
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8476882.png,CHI,8476882,86,L,Teuvo,Teravainen
2015020002,https://assets.nhle.com/mugs/nhl/20152016/NYR/8477293.png,NYR,8477293,32,G,Antti,Raanta
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8477845.png,CHI,8477845,57,D,Trevor,van Riemsdyk
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8478393.png,CHI,8478393,39,R,Kyle,Baun
2015020002,https://assets.nhle.com/mugs/nhl/20152016/CHI/8478550.png,CHI,8478550,72,C,Artemi,Panarin
