idx_season,team_tri,playerId,firstName.default,lastName.default,positionCode,gamesPlayed,gamesStarted,wins,losses,ties,overtimeLosses,goalsAgainstAverage,savePercentage,shotsAgainst,saves,goalsAgainst,shutouts,goals,assists,points,penaltyMinutes,timeOnIce,idx_season_type,plusMinus,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
2024,ANA,8476434.0,John,Gibson,G,27.0,26.0,10.0,10.0,0.0,2.0,2.748781,0.913158,760.0,694.0,67.0,0.0,0.0,1.0,1.0,4.0,87748.0,2.0,,,,,,,,,,
2024,ANA,8478024.0,Ville,Husso,G,11.0,9.0,1.0,6.0,0.0,2.0,3.710862,0.873518,253.0,221.0,32.0,0.0,0.0,0.0,0.0,0.0,31044.0,2.0,,,,,,,,,,
2024,ANA,8480843.0,Lukas,Dostal,G,45.0,41.0,20.0,19.0,0.0,6.0,2.987767,0.907096,1367.0,1240.0,127.0,1.0,0.0,0.0,0.0,0.0,153024.0,2.0,,,,,,,,,,
2024,ANA,8473986.0,Alex,Killorn,L,70.0,,,,,,,,,,,,17.0,13.0,30.0,28.0,,,4.0,0.0,0.0,5.0,1.0,117.0,0.145299,1040.1857,21.6429,0.368421
2024,ANA,8475462.0,Radko,Gudas,D,69.0,,,,,,,,,,,,1.0,13.0,14.0,72.0,,,7.0,0.0,0.0,0.0,0.0,76.0,0.013158,1171.2319,23.5217,0.0
2024,ANA,8476458.0,Ryan,Strome,C,70.0,,,,,,,,,,,,10.0,29.0,39.0,54.0,,,-1.0,0.0,0.0,3.0,0.0,122.0,0.081967,1022.6143,21.0429,0.416901
2024,ANA,8476885.0,Jacob,Trouba,D,69.0,,,,,,,,,,,,1.0,13.0,14.0,62.0,,,-7.0,0.0,0.0,0.0,0.0,100.0,0.01,1235.8261,25.0435,0.0
2024,ANA,8476934.0,Brock,McGinn,L,26.0,,,,,,,,,,,,4.0,4.0,8.0,0.0,,,1.0,0.0,0.0,0.0,0.0,30.0,0.133333,702.5,16.6923,0.125
2024,ANA,8477527.0,Ross,Johnston,L,43.0,,,,,,,,,,,,1.0,3.0,4.0,72.0,,,-2.0,0.0,0.0,1.0,0.0,9.0,0.111111,521.4651,12.1395,0.0
2024,ANA,8477952.0,Robby,Fabbri,C,44.0,,,,,,,,,,,,8.0,8.0,16.0,20.0,,,-6.0,0.0,0.0,0.0,0.0,65.0,0.123077,972.2727,19.4773,0.455128
2024,ANA,8478366.0,Frank,Vatrano,R,69.0,,,,,,,,,,,,20.0,21.0,41.0,48.0,,,-7.0,3.0,1.0,1.0,0.0,213.0,0.093897,1069.6232,22.087,0.428571
2024,ANA,8478424.0,Jansen,Harkins,C,52.0,,,,,,,,,,,,2.0,4.0,6.0,16.0,,,-8.0,0.0,0.0,1.0,0.0,42.0,0.047619,652.1154,15.0769,0.547264
2024,ANA,8478430.0,Oliver,Kylington,D,14.0,,,,,,,,,,,,1.0,3.0,4.0,4.0,,,-3.0,0.0,0.0,0.0,0.0,4.0,0.25,748.8571,18.4286,0.0
2024,ANA,8478873.0,Troy,Terry,R,65.0,,,,,,,,,,,,19.0,32.0,51.0,16.0,,,5.0,4.0,0.0,4.0,1.0,156.0,0.121795,1137.3231,21.2154,0.321429
2024,ANA,8480806.0,Isac,Lundestrom,C,67.0,,,,,,,,,,,,4.0,10.0,14.0,10.0,,,-5.0,0.0,0.0,1.0,0.0,54.0,0.074074,827.597,18.791,0.476074
2024,ANA,8481517.0,Brett,Leason,R,59.0,,,,,,,,,,,,5.0,12.0,17.0,20.0,,,-1.0,1.0,0.0,0.0,0.0,77.0,0.064935,789.0,18.2203,0.291139
2024,ANA,8481533.0,Trevor,Zegras,C,45.0,,,,,,,,,,,,9.0,15.0,24.0,19.0,,,-6.0,1.0,0.0,1.0,0.0,81.0,0.111111,1025.0889,19.3778,0.363095
2024,ANA,8481563.0,Drew,Helleson,D,44.0,,,,,,,,,,,,4.0,7.0,11.0,33.0,,,6.0,0.0,0.0,1.0,0.0,46.0,0.086957,938.25,20.2273,0.0
2024,ANA,8481605.0,Jackson,LaCombe,D,63.0,,,,,,,,,,,,12.0,25.0,37.0,20.0,,,3.0,1.0,0.0,1.0,0.0,118.0,0.101695,1305.8254,25.8095,0.0
2024,ANA,8481754.0,Nikita,Nesterenko,C,11.0,,,,,,,,,,,,3.0,1.0,4.0,0.0,,,2.0,0.0,0.0,0.0,0.0,12.0,0.25,628.4545,13.6364,0.0
2024,ANA,8482118.0,Sam,Colangelo,R,20.0,,,,,,,,,,,,6.0,1.0,7.0,2.0,,,-6.0,1.0,0.0,1.0,0.0,28.0,0.214286,698.7,15.6,0.285714
2024,ANA,8482745.0,Mason,McTavish,C,64.0,,,,,,,,,,,,18.0,25.0,43.0,36.0,,,2.0,6.0,0.0,0.0,0.0,137.0,0.131387,1003.6563,19.8906,0.495037
2024,ANA,8482803.0,Olen,Zellweger,D,52.0,,,,,,,,,,,,5.0,10.0,15.0,16.0,,,-1.0,1.0,0.0,0.0,0.0,104.0,0.048077,1145.2308,22.2115,0.0
2024,ANA,8483445.0,Cutter,Gauthier,L,70.0,,,,,,,,,,,,13.0,21.0,34.0,16.0,,,3.0,2.0,0.0,2.0,1.0,150.0,0.086667,847.2,17.6286,0.354167
2024,ANA,8483482.0,Tristan,Luneau,D,6.0,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,-5.0,0.0,0.0,0.0,0.0,6.0,0.0,993.3333,19.3333,0.0
2024,ANA,8483490.0,Pavel,Mintyukov,D,58.0,,,,,,,,,,,,5.0,12.0,17.0,18.0,,,-3.0,0.0,0.0,0.0,0.0,63.0,0.079365,1060.5517,22.431,0.0
2024,ANA,8484153.0,Leo,Carlsson,C,64.0,,,,,,,,,,,,16.0,17.0,33.0,10.0,,,3.0,4.0,0.0,5.0,2.0,85.0,0.188235,956.1563,18.9844,0.408602
2024,BOS,8476914.0,Joonas,Korpisalo,G,24.0,21.0,10.0,8.0,0.0,3.0,2.751276,0.895973,596.0,534.0,62.0,3.0,0.0,0.0,0.0,0.0,81126.0,2.0,,,,,,,,,,
2024,BOS,8480280.0,Jeremy,Swayman,G,51.0,51.0,20.0,25.0,0.0,6.0,3.123793,0.892361,1440.0,1285.0,155.0,4.0,0.0,0.0,0.0,2.0,178629.0,2.0,,,,,,,,,,
2024,BOS,8476854.0,Hampus,Lindholm,D,17.0,,,,,,,,,,,,3.0,4.0,7.0,4.0,,,-4.0,0.0,0.0,1.0,0.0,35.0,0.085714,1251.3529,26.2941,0.0
2024,BOS,8477496.0,Elias,Lindholm,C,72.0,,,,,,,,,,,,13.0,24.0,37.0,14.0,,,-11.0,2.0,1.0,2.0,0.0,130.0,0.1,1090.2917,24.4306,0.550124
2024,BOS,8477507.0,Nikita,Zadorov,D,72.0,,,,,,,,,,,,4.0,13.0,17.0,135.0,,,14.0,0.0,0.0,0.0,0.0,96.0,0.041667,1232.8194,25.9861,0.0
2024,BOS,8477887.0,Patrick,Brown,C,11.0,,,,,,,,,,,,0.0,1.0,1.0,6.0,,,-2.0,0.0,0.0,0.0,0.0,7.0,0.0,628.7273,15.5455,0.375
2024,BOS,8477956.0,David,Pastrnak,R,72.0,,,,,,,,,,,,34.0,50.0,84.0,36.0,,,-4.0,7.0,0.0,4.0,3.0,292.0,0.116438,1221.5139,23.2778,0.375
2024,BOS,8478401.0,Pavel,Zacha,C,72.0,,,,,,,,,,,,14.0,29.0,43.0,21.0,,,-2.0,2.0,2.0,5.0,2.0,120.0,0.116667,1156.3056,24.0833,0.531915
2024,BOS,8478450.0,Parker,Wotherspoon,D,45.0,,,,,,,,,,,,1.0,5.0,6.0,8.0,,,-8.0,0.0,0.0,0.0,0.0,35.0,0.028571,1070.8889,22.9111,0.0
2024,BOS,8479325.0,Charlie,McAvoy,D,50.0,,,,,,,,,,,,7.0,16.0,23.0,46.0,,,0.0,2.0,1.0,2.0,0.0,98.0,0.071429,1420.22,27.72,0.0
2024,BOS,8479362.0,Riley,Tufte,L,6.0,,,,,,,,,,,,0.0,0.0,0.0,4.0,,,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,551.6667,13.6667,0.5
2024,BOS,8479369.0,Andrew,Peeke,D,66.0,,,,,,,,,,,,1.0,15.0,16.0,8.0,,,-8.0,0.0,1.0,0.0,0.0,70.0,0.014286,1110.4848,23.803,0.0
2024,BOS,8479705.0,Jeffrey,Viel,L,4.0,,,,,,,,,,,,0.0,0.0,0.0,9.0,,,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,464.0,12.25,0.0
2024,BOS,8479968.0,Vinni,Lettieri,C,17.0,,,,,,,,,,,,2.0,1.0,3.0,4.0,,,-6.0,0.0,0.0,0.0,0.0,27.0,0.074074,777.0588,17.1765,0.52381
2024,BOS,8479987.0,Morgan,Geekie,C,67.0,,,,,,,,,,,,25.0,14.0,39.0,22.0,,,-1.0,3.0,0.0,4.0,0.0,130.0,0.192308,1002.5522,20.6567,0.462908
2024,BOS,8479999.0,Casey,Mittelstadt,C,71.0,,,,,,,,,,,,13.0,25.0,38.0,22.0,,,-18.0,2.0,0.0,3.0,0.0,91.0,0.142857,1023.2254,19.831,0.437292
2024,BOS,8480035.0,Henri,Jokiharju,D,50.0,,,,,,,,,,,,3.0,4.0,7.0,14.0,,,4.0,0.0,0.0,2.0,0.0,52.0,0.057692,1025.48,23.1,0.0
2024,BOS,8480070.0,Ian,Mitchell,D,9.0,,,,,,,,,,,,0.0,1.0,1.0,2.0,,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,907.1111,20.3333,0.0
2024,BOS,8480355.0,Mark,Kastelic,C,61.0,,,,,,,,,,,,5.0,9.0,14.0,106.0,,,-3.0,0.0,0.0,0.0,0.0,67.0,0.074627,644.1639,16.377,0.543716
2024,BOS,8480789.0,Oliver,Wahlstrom,R,43.0,,,,,,,,,,,,3.0,3.0,6.0,37.0,,,-6.0,0.0,0.0,1.0,0.0,54.0,0.055556,613.5581,15.093,0.75
2024,BOS,8480828.0,Michael,Callahan,D,13.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,-3.0,0.0,0.0,0.0,0.0,5.0,0.0,808.6154,19.8462,0.0
2024,BOS,8480880.0,Jakub,Lauko,C,46.0,,,,,,,,,,,,3.0,5.0,8.0,38.0,,,-11.0,0.0,1.0,1.0,0.0,33.0,0.090909,626.4348,13.6522,0.125
2024,BOS,8481043.0,Cole,Koepke,L,63.0,,,,,,,,,,,,9.0,7.0,16.0,12.0,,,5.0,0.0,0.0,2.0,0.0,71.0,0.126761,660.1111,16.4921,0.0
2024,BOS,8481556.0,John,Beecher,C,70.0,,,,,,,,,,,,3.0,8.0,11.0,24.0,,,-8.0,0.0,0.0,0.0,0.0,37.0,0.081081,675.2571,17.6286,0.523404
2024,BOS,8482177.0,Marat,Khusnutdinov,C,65.0,,,,,,,,,,,,4.0,5.0,9.0,18.0,,,-9.0,0.0,0.0,0.0,0.0,35.0,0.114286,699.2615,14.7385,0.431925
2024,BOS,8482511.0,Mason,Lohrei,D,67.0,,,,,,,,,,,,5.0,24.0,29.0,16.0,,,-30.0,1.0,0.0,0.0,0.0,78.0,0.064103,1168.8209,23.7463,0.0
2024,BOS,8482763.0,Fabian,Lysell,R,3.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,791.0,17.0,0.0
2024,BOS,8483505.0,Matthew,Poitras,C,33.0,,,,,,,,,,,,1.0,10.0,11.0,8.0,,,-5.0,0.0,0.0,1.0,0.0,29.0,0.034483,785.2727,17.303,0.457364
2024,BOS,8483567.0,Georgii,Merkulov,C,6.0,,,,,,,,,,,,0.0,1.0,1.0,2.0,,,-1.0,0.0,0.0,0.0,0.0,7.0,0.0,824.0,18.0,0.0
2024,BUF,8473503.0,James,Reimer,G,15.0,12.0,3.0,8.0,0.0,2.0,3.000427,0.897243,399.0,358.0,41.0,0.0,0.0,0.0,0.0,0.0,49193.0,2.0,,,,,,,,,,
2024,BUF,8480045.0,Ukko-Pekka,Luukkonen,G,51.0,51.0,23.0,22.0,0.0,4.0,3.155558,0.887837,1373.0,1219.0,154.0,2.0,0.0,1.0,1.0,2.0,175690.0,2.0,,,,,,,,,,
2024,BUF,8482221.0,Devon,Levi,G,9.0,8.0,2.0,7.0,0.0,0.0,4.119564,0.872093,258.0,225.0,33.0,0.0,0.0,0.0,0.0,0.0,28838.0,2.0,,,,,,,,,,
2024,BUF,8475722.0,Jason,Zucker,L,61.0,,,,,,,,,,,,19.0,27.0,46.0,55.0,,,2.0,10.0,0.0,3.0,0.0,114.0,0.166667,967.459,20.4098,0.39759
2024,BUF,8477365.0,Connor,Clifton,D,60.0,,,,,,,,,,,,0.0,10.0,10.0,37.0,,,-6.0,0.0,0.0,0.0,0.0,49.0,0.0,919.8667,20.3667,0.0
2024,BUF,8477949.0,Alex,Tuch,R,69.0,,,,,,,,,,,,27.0,24.0,51.0,38.0,,,9.0,2.0,4.0,4.0,1.0,168.0,0.160714,1168.971,25.6232,0.435065
2024,BUF,8478043.0,Sam,Lafferty,C,50.0,,,,,,,,,,,,2.0,3.0,5.0,26.0,,,-11.0,0.0,0.0,0.0,0.0,42.0,0.047619,582.6,14.7,0.504065
