idx_season,team_tri,playerId,firstName.default,lastName.default,positionCode,gamesPlayed,gamesStarted,wins,losses,overtimeLosses,goalsAgainstAverage,savePercentage,shotsAgainst,saves,goalsAgainst,shutouts,goals,assists,points,penaltyMinutes,timeOnIce,idx_season_type,plusMinus,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
2025,ANA,8475852.0,Petr,Mrazek,G,10.0,8.0,3.0,5.0,0.0,4.070688,0.8583,247.0,212.0,35.0,0.0,0.0,0.0,0.0,0.0,30953.0,2.0,,,,,,,,,,
2025,ANA,8478024.0,Ville,Husso,G,19.0,18.0,9.0,8.0,2.0,3.205305,0.88694,513.0,455.0,58.0,0.0,0.0,0.0,0.0,2.0,65142.0,2.0,,,,,,,,,,
2025,ANA,8480843.0,Lukas,Dostal,G,52.0,51.0,29.0,18.0,3.0,3.092971,0.890372,1423.0,1267.0,156.0,0.0,0.0,1.0,1.0,6.0,181573.0,2.0,,,,,,,,,,
2025,ANA,8483746.0,Vyacheslav,Buteyets,G,1.0,0.0,0.0,0.0,0.0,9.0,0.769231,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1200.0,2.0,,,,,,,,,,
2025,ANA,8473986.0,Alex,Killorn,L,77.0,,,,,,,,,,,13.0,17.0,30.0,40.0,,,-3.0,3.0,0.0,2.0,0.0,136.0,0.095588,997.4675,22.039,0.330508
2025,ANA,8474590.0,John,Carlson,D,66.0,,,,,,,,,,,11.0,44.0,55.0,30.0,,,10.0,0.0,0.0,0.0,0.0,147.0,0.07483,1391.2879,24.5606,0.0
2025,ANA,8475184.0,Chris,Kreider,L,71.0,,,,,,,,,,,22.0,25.0,47.0,30.0,,,-6.0,8.0,0.0,3.0,1.0,132.0,0.166667,1029.3662,21.4366,0.375
2025,ANA,8475462.0,Radko,Gudas,D,55.0,,,,,,,,,,,2.0,11.0,13.0,62.0,,,-1.0,0.0,0.0,0.0,0.0,63.0,0.031746,977.6364,21.0364,0.0
2025,ANA,8475798.0,Mikael,Granlund,C,53.0,,,,,,,,,,,19.0,16.0,35.0,18.0,,,-12.0,8.0,0.0,2.0,2.0,105.0,0.180952,1144.1132,22.8679,0.488506
2025,ANA,8476885.0,Jacob,Trouba,D,76.0,,,,,,,,,,,10.0,24.0,34.0,31.0,,,1.0,0.0,0.0,1.0,1.0,159.0,0.062893,1370.9079,28.1842,0.0
2025,ANA,8477527.0,Ross,Johnston,L,62.0,,,,,,,,,,,3.0,11.0,14.0,107.0,,,0.0,0.0,0.0,0.0,0.0,33.0,0.090909,584.629,13.6774,0.454545
2025,ANA,8478366.0,Frank,Vatrano,R,48.0,,,,,,,,,,,4.0,4.0,8.0,40.0,,,-15.0,0.0,0.0,1.0,0.0,77.0,0.051948,712.9375,16.6667,0.428571
2025,ANA,8478424.0,Jansen,Harkins,C,44.0,,,,,,,,,,,3.0,5.0,8.0,28.0,,,-6.0,0.0,0.0,0.0,0.0,37.0,0.081081,575.4318,14.0,0.513514
2025,ANA,8478873.0,Troy,Terry,R,56.0,,,,,,,,,,,18.0,36.0,54.0,14.0,,,12.0,0.0,2.0,2.0,1.0,139.0,0.129496,1098.4286,22.1429,0.4
2025,ANA,8479705.0,Jeffrey,Viel,L,40.0,,,,,,,,,,,3.0,6.0,9.0,68.0,,,-3.0,0.0,0.0,0.0,0.0,56.0,0.053571,721.325,16.45,0.2
2025,ANA,8480068.0,Ryan,Poehling,C,70.0,,,,,,,,,,,11.0,23.0,34.0,12.0,,,10.0,0.0,2.0,2.0,0.0,89.0,0.123596,899.1286,20.8429,0.479538
2025,ANA,8481563.0,Drew,Helleson,D,57.0,,,,,,,,,,,2.0,13.0,15.0,20.0,,,-4.0,0.0,0.0,0.0,0.0,36.0,0.055556,1025.9474,23.3684,0.0
2025,ANA,8481605.0,Jackson,LaCombe,D,77.0,,,,,,,,,,,9.0,46.0,55.0,19.0,,,-2.0,3.0,1.0,0.0,0.0,145.0,0.062069,1454.5195,27.3766,0.0
2025,ANA,8481754.0,Nikita,Nesterenko,C,29.0,,,,,,,,,,,1.0,8.0,9.0,8.0,,,-2.0,0.0,0.0,1.0,0.0,31.0,0.032258,735.4138,17.5862,0.392857
2025,ANA,8482118.0,Sam,Colangelo,R,9.0,,,,,,,,,,,1.0,0.0,1.0,4.0,,,-3.0,0.0,0.0,0.0,0.0,7.0,0.142857,610.6667,15.1111,0.5
2025,ANA,8482178.0,Ian,Moore,D,62.0,,,,,,,,,,,4.0,8.0,12.0,24.0,,,-13.0,0.0,0.0,1.0,0.0,62.0,0.064516,839.5806,19.9677,0.0
2025,ANA,8482731.0,Tyson,Hinds,D,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1402.0,25.0,0.0
2025,ANA,8482745.0,Mason,McTavish,C,70.0,,,,,,,,,,,15.0,21.0,36.0,42.0,,,-15.0,5.0,0.0,3.0,0.0,132.0,0.113636,924.0714,19.1857,0.48916
2025,ANA,8482803.0,Olen,Zellweger,D,75.0,,,,,,,,,,,7.0,15.0,22.0,34.0,,,4.0,1.0,0.0,1.0,1.0,118.0,0.059322,1024.9733,21.9733,0.0
2025,ANA,8483444.0,Nathan,Gaucher,C,3.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,481.3333,12.3333,0.25
2025,ANA,8483445.0,Cutter,Gauthier,L,73.0,,,,,,,,,,,38.0,27.0,65.0,26.0,,,-2.0,10.0,0.0,7.0,1.0,271.0,0.140221,1036.3425,20.9178,0.495146
2025,ANA,8483490.0,Pavel,Mintyukov,D,68.0,,,,,,,,,,,8.0,12.0,20.0,17.0,,,-2.0,0.0,0.0,2.0,0.0,74.0,0.108108,1106.3824,24.5882,0.0
2025,ANA,8484153.0,Leo,Carlsson,C,65.0,,,,,,,,,,,27.0,37.0,64.0,33.0,,,3.0,4.0,2.0,3.0,1.0,171.0,0.157895,1149.7231,22.6154,0.441501
2025,ANA,8484762.0,Beckett,Sennecke,R,77.0,,,,,,,,,,,23.0,35.0,58.0,54.0,,,-11.0,1.0,1.0,2.0,1.0,183.0,0.125683,1046.9481,21.2857,0.6
2025,ANA,8485512.0,Tim,Washe,C,34.0,,,,,,,,,,,2.0,3.0,5.0,14.0,,,-2.0,0.0,0.0,0.0,0.0,31.0,0.064516,721.5,18.1471,0.56338
2025,BOS,8476914.0,Joonas,Korpisalo,G,29.0,27.0,13.0,9.0,5.0,3.221394,0.891114,799.0,712.0,87.0,1.0,0.0,0.0,0.0,2.0,97225.0,2.0,,,,,,,,,,
2025,BOS,8480022.0,Michael,DiPietro,G,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,2.0,,,,,,,,,,
2025,BOS,8480280.0,Jeremy,Swayman,G,52.0,51.0,30.0,17.0,4.0,2.700631,0.908123,1502.0,1364.0,139.0,1.0,0.0,0.0,0.0,11.0,185290.0,2.0,,,,,,,,,,
2025,BOS,8476374.0,Sean,Kuraly,C,78.0,,,,,,,,,,,5.0,12.0,17.0,41.0,,,-5.0,0.0,0.0,1.0,0.0,104.0,0.048077,798.4103,17.4103,0.509404
2025,BOS,8476854.0,Hampus,Lindholm,D,64.0,,,,,,,,,,,4.0,20.0,24.0,58.0,,,-4.0,1.0,0.0,2.0,0.0,97.0,0.041237,1298.6875,26.2656,0.0
