team_tri_for,fenwick_lvl,corsi_lvl,rpe,rwin,rgame,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,idx_WinStreak,idx_WinStreak_expected,idx_HotStreak,yr_season
DAL,-4.0,-3.0,0.3902439024390244,0,1,0.0,0.2857142857142857,0.0,0.36280487804878053,29.425818000000003,0.0,1.0,,,,,,0.0,0.0,0,0,0,2025
CHI,-2.0,-1.0,0.2,0,1,0.0,0.42857142857142855,0.25,0.125,16.7956992,0.0,1.0,,,,,,0.0,0.07692307692307693,0,0,0,2025
EDM,-2.0,-1.0,0.2,0,1,0.0,0.42857142857142855,0.25,0.125,16.7956992,0.0,1.0,,,,,,0.0,0.15384615384615385,0,0,0,2025
MTL,0.0,-2.0,0.4098360655737705,0,1,0.0,0.35714285714285715,0.5,0.38729508196721313,30.72652380327869,0.0,1.0,,,,,,0.0,0.23076923076923078,0,0,0,2025
DET,1.0,1.0,0.1,0,1,0.0,0.5714285714285714,0.625,0.0,10.1567906,0.0,1.0,,,,,,0.0,0.3076923076923077,0,0,0,2025
SJS,4.0,3.0,0.3076923076923077,0,1,0.0,0.7142857142857143,1.0,0.25961538461538464,23.94529307692308,0.0,1.0,,,,,,0.0,0.38461538461538464,0,0,0,2025
VGK,4.0,7.0,0.2,0,1,0.0,1.0,1.0,0.125,16.7956992,0.0,1.0,,,,,,0.0,0.46153846153846156,0,0,0,2025
MIN,-4.0,-7.0,0.8,1,1,1.0,0.0,0.0,0.875,56.6291508,1.0,0.0,,,,,,1.0,0.5384615384615384,0,0,0,2025
STL,-4.0,-3.0,0.6923076923076923,1,1,1.0,0.2857142857142857,0.0,0.7403846153846153,49.47955692307692,1.0,0.0,,,,,,1.0,0.6153846153846154,0,0,0,2025
FLA,-1.0,-1.0,0.9,1,1,1.0,0.42857142857142855,0.375,1.0,63.2680594,1.0,0.0,,,,,,1.0,0.6923076923076923,0,0,0,2025
ANA,0.0,2.0,0.5901639344262295,1,1,1.0,0.6428571428571429,0.5,0.6127049180327868,42.69832619672131,1.0,0.0,,,,,,1.0,0.7692307692307693,0,0,0,2025
CAR,2.0,1.0,0.8,1,1,1.0,0.5714285714285714,0.75,0.875,56.6291508,1.0,0.0,,,,,,1.0,0.8461538461538461,0,0,0,2025
VAN,2.0,1.0,0.8,1,1,1.0,0.5714285714285714,0.75,0.875,56.6291508,1.0,0.0,,,,,,1.0,0.9230769230769231,0,0,0,2025
COL,4.0,3.0,0.6097560975609756,1,1,1.0,0.7142857142857143,1.0,0.6371951219512195,43.999032,1.0,0.0,,,,,,1.0,1.0,0,0,0,2025
