gameIdx,team_tri,gameid,teamloc,goals,win,seasonIdx,gameDate,gameEnd,shots,faceoffWinningPctg,powerPlay,powerPlayPctg,pim,hits,shots_blocked,poss_giveaway,poss_takeaway
NSH_TBL_2023-10-10,NSH,2023020001,away,3,0,2,2023-10-10,REG,31,0.433333,1/4,0.25,10,23,10,7,10
NSH_TBL_2023-10-10,TBL,2023020001,home,5,1,2,2023-10-10,REG,34,0.566667,2/5,0.4,8,22,17,8,8
CHI_PIT_2023-10-10,CHI,2023020002,away,4,1,2,2023-10-10,REG,36,0.322034,0/4,0.0,4,13,16,2,12
CHI_PIT_2023-10-10,PIT,2023020002,home,2,0,2,2023-10-10,REG,41,0.677966,0/2,0.0,8,23,19,8,11
SEA_VGK_2023-10-10,SEA,2023020003,away,1,0,2,2023-10-10,REG,33,0.408163,0/4,0.0,8,21,18,4,6
SEA_VGK_2023-10-10,VGK,2023020003,home,4,1,2,2023-10-10,REG,28,0.591837,0/4,0.0,11,29,21,13,16
MTL_TOR_2023-10-11,MTL,2023020005,away,5,0,2,2023-10-11,SO,24,0.518519,1/4,0.25,25,43,15,10,8
MTL_TOR_2023-10-11,TOR,2023020005,home,6,1,2,2023-10-11,SO,42,0.481481,2/4,0.5,15,29,13,13,10
OTT_CAR_2023-10-11,OTT,2023020004,away,3,0,2,2023-10-11,REG,30,0.477612,0/4,0.0,14,24,16,9,3
OTT_CAR_2023-10-11,CAR,2023020004,home,5,1,2,2023-10-11,REG,42,0.522388,1/6,0.166667,10,25,9,13,5
CHI_BOS_2023-10-11,CHI,2023020006,away,1,0,2,2023-10-11,REG,21,0.37037,0/3,0.0,23,24,24,6,3
CHI_BOS_2023-10-11,BOS,2023020006,home,3,1,2,2023-10-11,REG,33,0.62963,0/3,0.0,13,25,9,6,4
EDM_VAN_2023-10-11,EDM,2023020009,away,1,0,2,2023-10-11,REG,27,0.539683,1/4,0.25,17,26,10,5,1
EDM_VAN_2023-10-11,VAN,2023020009,home,8,1,2,2023-10-11,REG,32,0.460317,3/6,0.5,13,25,13,7,7
COL_LAK_2023-10-11,COL,2023020008,away,5,1,2,2023-10-11,REG,37,0.484375,1/3,0.333333,19,25,23,6,5
COL_LAK_2023-10-11,LAK,2023020008,home,2,0,2,2023-10-11,REG,36,0.515625,0/5,0.0,15,20,13,8,5
WPG_CGY_2023-10-11,WPG,2023020007,away,3,0,2,2023-10-11,REG,37,0.38961,0/4,0.0,6,26,14,5,7
WPG_CGY_2023-10-11,CGY,2023020007,home,5,1,2,2023-10-11,REG,22,0.61039,1/3,0.333333,8,19,25,15,8
NYR_BUF_2023-10-12,NYR,2023020010,away,5,1,2,2023-10-12,REG,31,0.633333,1/4,0.25,8,18,23,3,4
NYR_BUF_2023-10-12,BUF,2023020010,home,1,0,2,2023-10-12,REG,25,0.366667,0/3,0.0,10,29,14,9,6
PHI_CBJ_2023-10-12,PHI,2023020011,away,4,1,2,2023-10-12,REG,37,0.462963,0/3,0.0,10,18,17,6,8
PHI_CBJ_2023-10-12,CBJ,2023020011,home,2,0,2,2023-10-12,REG,33,0.537037,0/4,0.0,8,22,24,7,10
DET_NJD_2023-10-12,DET,2023020012,away,3,0,2,2023-10-12,REG,35,0.576271,2/4,0.5,12,25,14,9,10
DET_NJD_2023-10-12,NJD,2023020012,home,4,1,2,2023-10-12,REG,27,0.423729,1/6,0.166667,8,33,11,17,7
SEA_NSH_2023-10-12,SEA,2023020015,away,0,0,2,2023-10-12,REG,23,0.4375,0/2,0.0,8,22,19,11,6
SEA_NSH_2023-10-12,NSH,2023020015,home,3,1,2,2023-10-12,REG,35,0.5625,0/3,0.0,6,33,21,11,6
FLA_MIN_2023-10-12,FLA,2023020014,away,0,0,2,2023-10-12,REG,41,0.596774,0/3,0.0,12,11,11,7,9
FLA_MIN_2023-10-12,MIN,2023020014,home,2,1,2,2023-10-12,REG,21,0.403226,1/4,0.25,10,17,26,9,8
STL_DAL_2023-10-12,STL,2023020013,away,1,0,2,2023-10-12,SO,24,0.474576,0/3,0.0,8,26,18,15,7
STL_DAL_2023-10-12,DAL,2023020013,home,2,1,2,2023-10-12,SO,34,0.525424,0/4,0.0,6,18,15,13,14
VGK_SJS_2023-10-12,VGK,2023020016,away,4,1,2,2023-10-12,REG,32,0.446429,0/1,0.0,9,16,10,6,9
VGK_SJS_2023-10-12,SJS,2023020016,home,1,0,2,2023-10-12,REG,23,0.553571,0/2,0.0,7,25,17,13,7
ARI_NJD_2023-10-13,ARI,2023020017,away,4,1,2,2023-10-13,SO,33,0.508197,2/7,0.285714,12,22,16,2,2
ARI_NJD_2023-10-13,NJD,2023020017,home,3,0,2,2023-10-13,SO,36,0.491803,2/5,0.4,16,23,13,7,10
PIT_WSH_2023-10-13,PIT,2023020018,away,4,1,2,2023-10-13,REG,35,0.552239,2/3,0.666667,13,19,22,14,4
PIT_WSH_2023-10-13,WSH,2023020018,home,0,0,2,2023-10-13,REG,19,0.447761,0/3,0.0,13,20,18,12,4
PHI_OTT_2023-10-14,PHI,2023020019,away,2,0,2,2023-10-14,REG,21,0.383333,1/6,0.166667,19,23,8,9,3
PHI_OTT_2023-10-14,OTT,2023020019,home,5,1,2,2023-10-14,REG,31,0.616667,3/5,0.6,21,21,18,13,6
FLA_WPG_2023-10-14,FLA,2023020020,away,4,0,2,2023-10-14,REG,33,0.397059,1/7,0.142857,19,16,10,10,2
FLA_WPG_2023-10-14,WPG,2023020020,home,6,1,2,2023-10-14,REG,35,0.602941,2/6,0.333333,21,16,16,13,6
MIN_TOR_2023-10-14,MIN,2023020026,away,4,0,2,2023-10-14,REG,32,0.485714,0/1,0.0,13,41,10,8,6
MIN_TOR_2023-10-14,TOR,2023020026,home,7,1,2,2023-10-14,REG,33,0.514286,2/3,0.666667,9,26,19,10,10
CHI_MTL_2023-10-14,CHI,2023020024,away,2,0,2,2023-10-14,REG,30,0.25,0/7,0.0,8,23,21,12,4
CHI_MTL_2023-10-14,MTL,2023020024,home,3,1,2,2023-10-14,REG,36,0.75,0/2,0.0,20,15,20,17,4
NYR_CBJ_2023-10-14,NYR,2023020022,away,3,0,2,2023-10-14,REG,42,0.576271,1/3,0.333333,2,23,12,2,7
NYR_CBJ_2023-10-14,CBJ,2023020022,home,5,1,2,2023-10-14,REG,21,0.423729,1/1,1.0,6,25,27,5,8
TBL_DET_2023-10-14,TBL,2023020023,away,4,0,2,2023-10-14,REG,25,0.54,1/2,0.5,4,27,11,2,2
TBL_DET_2023-10-14,DET,2023020023,home,6,1,2,2023-10-14,REG,42,0.46,0/1,0.0,6,22,21,8,6
CGY_PIT_2023-10-14,CGY,2023020025,away,2,0,2,2023-10-14,REG,36,0.53125,1/3,0.333333,6,12,5,3,3
CGY_PIT_2023-10-14,PIT,2023020025,home,5,1,2,2023-10-14,REG,29,0.46875,0/3,0.0,8,19,24,9,10
NSH_BOS_2023-10-14,NSH,2023020021,away,2,0,2,2023-10-14,REG,36,0.578125,0/7,0.0,10,33,21,8,8
NSH_BOS_2023-10-14,BOS,2023020021,home,3,1,2,2023-10-14,REG,30,0.421875,2/5,0.4,14,30,16,7,1
BUF_NYI_2023-10-14,BUF,2023020027,away,2,0,2,2023-10-14,REG,28,0.353846,0/2,0.0,6,25,16,9,7
BUF_NYI_2023-10-14,NYI,2023020027,home,3,1,2,2023-10-14,REG,29,0.646154,0/3,0.0,4,32,15,20,9
SEA_STL_2023-10-14,SEA,2023020028,away,1,0,2,2023-10-14,SO,31,0.596154,1/1,1.0,8,23,13,8,8
SEA_STL_2023-10-14,STL,2023020028,home,2,1,2,2023-10-14,SO,25,0.403846,0/4,0.0,2,21,17,14,13
VAN_EDM_2023-10-14,VAN,2023020029,away,4,1,2,2023-10-14,REG,16,0.517241,1/3,0.333333,14,36,25,21,8
VAN_EDM_2023-10-14,EDM,2023020029,home,3,0,2,2023-10-14,REG,40,0.482759,2/7,0.285714,6,39,9,19,8
COL_SJS_2023-10-14,COL,2023020030,away,2,1,2,2023-10-14,SO,52,0.421875,0/5,0.0,8,20,18,11,7
COL_SJS_2023-10-14,SJS,2023020030,home,1,0,2,2023-10-14,SO,21,0.578125,0/4,0.0,10,26,27,1,9
ANA_VGK_2023-10-14,ANA,2023020031,away,1,0,2,2023-10-14,REG,23,0.482143,0/3,0.0,22,29,18,5,8
ANA_VGK_2023-10-14,VGK,2023020031,home,4,1,2,2023-10-14,REG,38,0.517857,2/6,0.333333,17,22,14,5,11
CAR_LAK_2023-10-14,CAR,2023020032,away,6,1,2,2023-10-14,SO,19,0.470588,0/4,0.0,16,13,17,7,3
CAR_LAK_2023-10-14,LAK,2023020032,home,5,0,2,2023-10-14,SO,30,0.529412,2/7,0.285714,10,24,14,12,4
TBL_OTT_2023-10-15,TBL,2023020033,away,2,0,2,2023-10-15,REG,24,0.576271,0/2,0.0,8,26,15,8,4
TBL_OTT_2023-10-15,OTT,2023020033,home,5,1,2,2023-10-15,REG,38,0.423729,0/2,0.0,6,17,15,8,5
CAR_ANA_2023-10-15,CAR,2023020034,away,3,0,2,2023-10-15,REG,35,0.5,2/6,0.333333,20,13,9,5,4
CAR_ANA_2023-10-15,ANA,2023020034,home,6,1,2,2023-10-15,REG,25,0.5,0/2,0.0,28,16,29,2,5
CHI_TOR_2023-10-16,CHI,2023020038,away,4,1,2,2023-10-16,REG,31,0.372881,1/4,0.25,11,42,28,13,5
CHI_TOR_2023-10-16,TOR,2023020038,home,1,0,2,2023-10-16,REG,36,0.627119,0/3,0.0,13,27,23,5,7
FLA_NJD_2023-10-16,FLA,2023020036,away,4,1,2,2023-10-16,REG,30,0.516129,1/4,0.25,12,31,22,4,2
FLA_NJD_2023-10-16,NJD,2023020036,home,3,0,2,2023-10-16,REG,34,0.483871,2/5,0.4,10,40,9,7,5
DET_CBJ_2023-10-16,DET,2023020035,away,4,1,2,2023-10-16,REG,28,0.672727,2/5,0.4,13,11,13,2,2
DET_CBJ_2023-10-16,CBJ,2023020035,home,0,0,2,2023-10-16,REG,23,0.327273,0/4,0.0,15,15,10,5,7
CGY_WSH_2023-10-16,CGY,2023020039,away,2,0,2,2023-10-16,SO,40,0.612903,1/5,0.2,6,11,14,7,7
CGY_WSH_2023-10-16,WSH,2023020039,home,3,1,2,2023-10-16,SO,23,0.387097,0/3,0.0,10,17,20,12,16
ARI_NYR_2023-10-16,ARI,2023020037,away,1,0,2,2023-10-16,REG,27,0.541667,1/5,0.2,44,20,14,4,3
ARI_NYR_2023-10-16,NYR,2023020037,home,2,1,2,2023-10-16,REG,28,0.458333,1/3,0.333333,38,23,15,11,10
VAN_PHI_2023-10-17,VAN,2023020042,away,0,0,2,2023-10-17,REG,26,0.5,0/3,0.0,22,21,11,7,2
VAN_PHI_2023-10-17,PHI,2023020042,home,2,1,2,2023-10-17,REG,42,0.5,0/4,0.0,20,15,15,11,5
MIN_MTL_2023-10-17,MIN,2023020041,away,5,1,2,2023-10-17,REG,35,0.454545,3/8,0.375,44,10,7,10,6
MIN_MTL_2023-10-17,MTL,2023020041,home,2,0,2,2023-10-17,REG,28,0.545455,0/5,0.0,40,29,20,15,4
ARI_NYI_2023-10-17,ARI,2023020043,away,0,0,2,2023-10-17,REG,14,0.34,0/3,0.0,8,18,13,8,3
ARI_NYI_2023-10-17,NYI,2023020043,home,1,1,2,2023-10-17,REG,34,0.66,1/3,0.333333,8,28,14,9,8
TBL_BUF_2023-10-17,TBL,2023020040,away,2,0,2,2023-10-17,OT,25,0.490566,0/4,0.0,11,20,10,7,4
TBL_BUF_2023-10-17,BUF,2023020040,home,3,1,2,2023-10-17,OT,31,0.509434,0/3,0.0,13,14,12,6,7
LAK_WPG_2023-10-17,LAK,2023020045,away,5,1,2,2023-10-17,REG,29,0.45283,1/5,0.2,17,20,17,8,5
LAK_WPG_2023-10-17,WPG,2023020045,home,1,0,2,2023-10-17,REG,27,0.54717,0/4,0.0,29,24,9,9,5
EDM_NSH_2023-10-17,EDM,2023020044,away,6,1,2,2023-10-17,REG,30,0.491803,2/3,0.666667,11,26,13,14,11
EDM_NSH_2023-10-17,NSH,2023020044,home,1,0,2,2023-10-17,REG,44,0.508197,1/3,0.333333,11,28,10,19,8
COL_SEA_2023-10-17,COL,2023020046,away,4,1,2,2023-10-17,REG,28,0.419355,0/2,0.0,15,11,22,4,10
COL_SEA_2023-10-17,SEA,2023020046,home,1,0,2,2023-10-17,REG,38,0.580645,0/4,0.0,11,22,15,2,8
CAR_SJS_2023-10-17,CAR,2023020047,away,6,1,2,2023-10-17,REG,42,0.530303,3/7,0.428571,22,12,10,5,12
CAR_SJS_2023-10-17,SJS,2023020047,home,3,0,2,2023-10-17,REG,16,0.469697,2/6,0.333333,14,13,32,6,3
DAL_VGK_2023-10-17,DAL,2023020048,away,2,0,2,2023-10-17,SO,26,0.521127,0/2,0.0,18,23,17,2,3
DAL_VGK_2023-10-17,VGK,2023020048,home,3,1,2,2023-10-17,SO,34,0.478873,0/4,0.0,14,49,19,8,6
WSH_OTT_2023-10-18,WSH,2023020049,away,1,0,2,2023-10-18,REG,24,0.396226,0/2,0.0,19,20,22,1,5
WSH_OTT_2023-10-18,OTT,2023020049,home,6,1,2,2023-10-18,REG,29,0.603774,1/5,0.2,13,16,14,4,10
PIT_DET_2023-10-18,PIT,2023020050,away,3,0,2,2023-10-18,REG,33,0.54386,0/3,0.0,13,14,8,10,2
PIT_DET_2023-10-18,DET,2023020050,home,6,1,2,2023-10-18,REG,29,0.45614,2/3,0.666667,13,14,20,13,5
CGY_BUF_2023-10-19,CGY,2023020051,away,4,1,2,2023-10-19,REG,36,0.553846,0/5,0.0,12,12,17,3,10
CGY_BUF_2023-10-19,BUF,2023020051,home,3,0,2,2023-10-19,REG,27,0.446154,1/5,0.2,12,22,12,12,9
VAN_TBL_2023-10-19,VAN,2023020055,away,3,0,2,2023-10-19,REG,29,0.542373,0/1,0.0,11,21,11,2,3
VAN_TBL_2023-10-19,TBL,2023020055,home,4,1,2,2023-10-19,REG,36,0.457627,2/3,0.666667,7,18,23,3,4
NSH_NYR_2023-10-19,NSH,2023020053,away,4,1,2,2023-10-19,REG,27,0.46,2/4,0.5,8,26,21,3,4
NSH_NYR_2023-10-19,NYR,2023020053,home,1,0,2,2023-10-19,REG,24,0.54,1/4,0.25,8,33,10,7,6
TOR_FLA_2023-10-19,TOR,2023020052,away,1,0,2,2023-10-19,REG,30,0.428571,1/5,0.2,8,31,17,11,5
TOR_FLA_2023-10-19,FLA,2023020052,home,3,1,2,2023-10-19,REG,24,0.571429,0/4,0.0,10,23,26,17,6
EDM_PHI_2023-10-19,EDM,2023020054,away,1,0,2,2023-10-19,REG,23,0.477612,0/2,0.0,8,17,6,4,2
EDM_PHI_2023-10-19,PHI,2023020054,home,4,1,2,2023-10-19,REG,32,0.522388,0/4,0.0,4,16,19,6,7
VGK_WPG_2023-10-19,VGK,2023020058,away,5,1,2,2023-10-19,REG,27,0.595745,2/2,1.0,4,23,17,12,9
VGK_WPG_2023-10-19,WPG,2023020058,home,3,0,2,2023-10-19,REG,39,0.404255,1/2,0.5,4,25,22,13,9
LAK_MIN_2023-10-19,LAK,2023020056,away,7,1,2,2023-10-19,REG,27,0.393939,0/0,0.0,8,22,8,6,3
LAK_MIN_2023-10-19,MIN,2023020056,home,3,0,2,2023-10-19,REG,32,0.606061,0/4,0.0,0,28,13,9,2
ARI_STL_2023-10-19,ARI,2023020057,away,6,1,2,2023-10-19,REG,42,0.554054,3/4,0.75,14,15,9,5,6
ARI_STL_2023-10-19,STL,2023020057,home,2,0,2,2023-10-19,REG,26,0.445946,0/2,0.0,8,26,14,9,17
CAR_SEA_2023-10-19,CAR,2023020060,away,4,0,2,2023-10-19,REG,36,0.455882,1/2,0.5,13,16,17,1,8
CAR_SEA_2023-10-19,SEA,2023020060,home,7,1,2,2023-10-19,REG,36,0.544118,2/4,0.5,9,23,19,7,8
DAL_ANA_2023-10-19,DAL,2023020059,away,3,1,2,2023-10-19,REG,24,0.634615,2/5,0.4,8,18,19,5,3
DAL_ANA_2023-10-19,ANA,2023020059,home,2,0,2,2023-10-19,REG,29,0.365385,0/4,0.0,10,27,12,13,4
BOS_SJS_2023-10-19,BOS,2023020062,away,3,1,2,2023-10-19,REG,36,0.467742,0/1,0.0,6,15,18,8,3
BOS_SJS_2023-10-19,SJS,2023020062,home,1,0,2,2023-10-19,REG,27,0.532258,0/3,0.0,2,27,10,6,8
CHI_COL_2023-10-19,CHI,2023020061,away,0,0,2,2023-10-19,REG,18,0.471698,0/4,0.0,6,17,16,2,6
CHI_COL_2023-10-19,COL,2023020061,home,4,1,2,2023-10-19,REG,41,0.528302,1/3,0.333333,8,9,9,5,6
CGY_CBJ_2023-10-20,CGY,2023020063,away,1,0,2,2023-10-20,REG,37,0.425926,0/2,0.0,24,23,18,4,4
