team_tri_for,fenwick_lvl,corsi_lvl,rpe,rwin,rgame,wp,kpi_corsi,kpi_fenwick,kpi_pe,rwin_fittedPE,wp_own,wp_ow,wp_oow,rpi,pairwise_win,kpi_pairwise,kpi_rpi,kpi_wp,Final,idx_WinStreak,idx_WinStreak_expected,idx_HotStreak,ratio,ratio_viz,yr_season
SJS,-647,-371,0.23612740130043158,16,65,0.24615384615384617,0.0,0.0,0.0,19.194164351890862,0.24615384615384617,0.4947916666666667,0.2467733608673206,0.37062763508862506,0,0.0,0.0,0.0,0.0,1,0,1,1.0,100%,2023
CHI,-379,-219,0.26740858505564385,18,67,0.26865671641791045,0.16291532690246516,0.23654015887025595,0.07448324915617308,21.270893550397457,0.26865671641791045,0.5018050541516246,0.268941294530858,0.3853020298130044,1,0.03333333333333333,0.06839696388253418,0.05288720992984346,0.03225806451612903,0,0,0,,0%,2023
CBJ,-193,-165,0.39919389053882054,22,66,0.3333333333333333,0.2207931404072883,0.4007060900264784,0.388275649732774,30.019999529656342,0.3333333333333333,0.5014492753623189,0.3329837441006817,0.4173039070396632,3,0.1,0.21755686328258642,0.2048929663608562,0.06451612903225806,0,0,0,,0%,2023
ANA,-395,-191,0.3241994619567068,23,67,0.34328358208955223,0.19292604501607716,0.22241835834068843,0.20970732082560278,25.041187960997537,0.34328358208955223,0.4975265017667845,0.3433583959899749,0.420423745403274,3,0.1,0.23209834699507786,0.22827846735024276,0.0967741935483871,4,0,0,0.0,0%,2023
MTL,-334,-100,0.388181203205797,25,66,0.3787878787878788,0.2904608788853162,0.2762577228596646,0.36205347281889855,29.288877283213136,0.3787878787878788,0.5067808708065668,0.377856780091417,0.4425516001231073,3,0.1,0.33523568986319524,0.3117221867896449,0.12903225806451613,0,0,0,,0%,2023
ARI,-301,-294,0.43833156384829114,27,67,0.40298507462686567,0.08252947481243302,0.3053839364518976,0.4814658913589871,32.61831388883869,0.40298507462686567,0.5072796934865901,0.4026039058587882,0.45503709186470853,5,0.16666666666666666,0.3934302351064982,0.3685914732865623,0.16129032258064516,5,0,3,0.6,60%,2023
SEA,-81,-233,0.48082896889115656,28,65,0.4307692307692308,0.14790996784565916,0.499558693733451,0.5826559496722733,35.439677767006316,0.4307692307692308,0.49924924924924924,0.43226473629782836,0.4653831163913894,6,0.2,0.44165278051094836,0.4338909875876956,0.1935483870967742,7,0,0,0.0,0%,2023
OTT,152,198,0.46097913610603963,28,65,0.4307692307692308,0.609860664523044,0.705207413945278,0.535391752364015,34.12186551114957,0.4307692307692308,0.48864373783257625,0.431078988125968,0.4597839236400878,7,0.23333333333333334,0.41555509187879786,0.4338909875876956,0.22580645161290322,5,0,0,0.0,0%,2023
NYI,-208,41,0.4593002560598928,29,66,0.4393939393939394,0.4415862808145766,0.38746690203000883,0.531394191345895,34.010406199382246,0.4393939393939394,0.4969737726967048,0.43924758515505846,0.46814726748560187,8,0.26666666666666666,0.454536415312091,0.45416114736136315,0.25806451612903225,7,1,0,0.0,0%,2023
PIT,188,35,0.49468100155608996,29,65,0.4461538461538462,0.43515541264737406,0.736981465136805,0.6156388574923704,36.35930155487339,0.4461538461538462,0.4906507105459985,0.4456465739309634,0.46827546029420164,8,0.26666666666666666,0.4551339185866371,0.47004856988667026,0.2903225806451613,5,2,1,0.2,20%,2023
